Title,Rating,Votes,Duration
1. Kraven the Hunter,5.4,46000,2h 7m
2. Twisters,6.5,161000,2h 2m
3. Gladiator II,6.5,218000,2h 28m
4. Sonic the Hedgehog 3,6.9,53000,1h 50m
5. Pushpa: The Rule - Part 2,6.1,54000,3h 21m
6. Venom: The Last Dance,6,109000,1h 50m
7. Dune: Part Two,8.5,614000,2h 46m
8. The Ministry of Ungentlemanly Warfare,6.8,132000,2h 2m
9. Deadpool & Wolverine,7.6,481000,2h 8m
10. Furiosa: A Mad Max Saga,7.5,281000,2h 28m
11. The Lord of the Rings: The War of the Rohirrim,6.3,28000,2h 14m
12. Borderlands,4.7,46000,1h 41m
13. Civil War,7,233000,1h 49m
14. Elevation,5.6,20000,1h 31m
15. The Beekeeper,6.3,153000,1h 45m
16. Solo Leveling: ReAwakening,8.8,8.2,2h 1m
17. Carry-On,6.5,160000,1h 59m
18. The Count of Monte-Cristo,7.6,33000,2h 58m
19. The Fall Guy,6.8,217000,2h 6m
20. William Tell,5.8,1.9,2h 13m
21. Hellboy: The Crooked Man,4.5,12000,1h 39m
22. Rebel Ridge,6.8,86000,2h 11m
23. Damsel,6.1,108000,1h 50m
24. Marco,6.9,20000,2h 25m
25. Homestead,5.4,3.4,1h 52m
26. The Crow,4.7,33000,1h 51m
27. Road House,6.2,166000,2h 1m
28. Transformers One,7.6,48000,1h 44m
29. Red One,6.3,138000,2h 3m
30. Argylle,5.6,92000,2h 19m
31. Kingdom of the Planet of the Apes,6.9,150000,2h 25m
32. The Killer's Game,5.8,16000,1h 44m
33. Freaky Tales,6.5,374,1h 46m
34. Madame Web,4,99000,1h 56m
35. Bad Boys: Ride or Die,6.5,98000,1h 55m
36. Old Guy,5.1,1.8,1h 34m
37. Godzilla x Kong: The New Empire,6.1,120000,1h 55m
38. Love Lies Bleeding,6.6,56000,1h 44m
39. Thelma,7,22000,1h 38m
40. Land of Bad,6.6,50000,1h 53m
41. Dirty Angels,4.3,3.2,1h 44m
42. Aftermath,5.1,3.5,1h 37m
43. Monkey Man,6.8,90000,2h 1m
44. Blitz,6.2,16000,2h
45. The Union,5.4,52000,1h 47m
