Title,Rating,Votes,Duration
1. Moana 2,6.7,90000,1h 40m
2. Flow,7.9,62000,1h 25m
3. Twisters,6.5,161000,2h 2m
4. Gladiator II,6.5,218000,2h 28m
5. The Day the Earth Blew Up: A Looney Tunes Movie,7,2.6,1h 31m
6. Sonic the Hedgehog 3,6.9,53000,1h 50m
7. Mufasa: The Lion King,6.6,48000,1h 58m
8. Venom: The Last Dance,6,109000,1h 50m
9. Dune: Part Two,8.5,614000,2h 46m
10. Deadpool & Wolverine,7.6,481000,2h 8m
11. Paddington in Peru,6.7,18000,1h 46m
12. Furiosa: A Mad Max Saga,7.5,281000,2h 28m
13. The Lord of the Rings: The War of the Rohirrim,6.3,28000,2h 14m
14. Borderlands,4.7,46000,1h 41m
15. Civil War,7,233000,1h 49m
16. Despicable Me 4,6.2,63000,1h 34m
17. Solo Leveling: ReAwakening,8.8,8.2,2h 1m
18. The Count of Monte-Cristo,7.6,33000,2h 58m
19. Inside Out 2,7.5,212000,1h 36m
20. Damsel,6.1,108000,1h 50m
21. Transformers One,7.6,48000,1h 44m
22. Red One,6.3,138000,2h 3m
23. Kingdom of the Planet of the Apes,6.9,150000,2h 25m
24. The Return,6.2,7.6,1h 56m
25. Freaky Tales,6.5,374,1h 46m
26. Madame Web,4,99000,1h 56m
27. Bad Boys: Ride or Die,6.5,98000,1h 55m
28. Godzilla x Kong: The New Empire,6.1,120000,1h 55m
29. Love Lies Bleeding,6.6,56000,1h 44m
30. Ghostbusters: Frozen Empire,6.1,92000,1h 55m
31. Night of the Zoopocalypse,6.3,351,1h 31m
32. Wallace & Gromit: Vengeance Most Fowl,7.5,33000,1h 22m
33. Uglies,4.7,32000,1h 40m
34. Spaceman,5.7,42000,1h 47m
35. Survive,4.6,2.1,1h 30m
36. Harold and the Purple Crayon,5.7,8000,1h 30m
37. Kung Fu Panda 4,6.3,67000,1h 34m
38. Attack on Titan the Movie: The Last Attack,9.2,14000,2h 25m
39. The Garfield Movie,5.7,24000,1h 41m
40. Kalki 2898 AD,7,66000,3h
41. Descendants: The Rise of Red,4.7,6.9,1h 31m
42. Atlas,5.6,55000,1h 58m
43. Arthur the King,7,34000,1h 47m
44. Spellbound,5.6,6.5,1h 49m
45. Rebel Moon - Part Two: The Scargiver,5.3,59000,2h 2m
46. My Penguin Friend,6.7,4.8,1h 37m
47. Hitpig,5.1,849,1h 26m
48. Winner,6.5,2.3,1h 43m
49. Monster Summer,5.7,3.5,1h 37m
50. No Way Up,4.6,10000,1h 30m
51. Orion and the Dark,6.3,17000,1h 33m
52. The Unholy Trinity,7.9,49,1h 33m
53. A Sloth Story,5.6,188,1h 30m
54. Family Pack,5.5,8.7,1h 34m
55. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m
56. The Best Christmas Pageant Ever,6.8,6000,1h 39m
57. Lost on a Mountain in Maine,6.2,1.1,1h 38m
58. Justice League: Crisis on Infinite Earths - Part One,6.2,8.3,1h 33m
59. Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4,1h 34m
60. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8,1h 22m
61. River of Blood,5.4,1.6,1h 26m
62. Now or Never!,2.1,17000,N/A
63. The Empire,5.2,1.2,1h 50m
64. Bookworm,6,1.8,1h 43m
65. Sasquatch Sunset,5.4,5.3,1h 28m
66. Thelma the Unicorn,5.7,2.9,1h 33m
67. Hanu Man,7.7,29000,2h 38m
68. Buffalo Kids,6.6,646,1h 33m
69. Something in the Water,4.1,4.5,1h 26m
"70. I, the Executioner",6.3,1.6,1h 58m
71. Raqa,5.9,111,1h 47m
72. The Price of Money: A Largo Winch Adventure,5,1.1,1h 40m
73. That Christmas,6.8,17000,1h 31m
74. Badland Hunters,5.9,12000,1h 47m
