Title,Rating,Votes,Duration,genre
1. Kraven the Hunter,5.4,46000.0,2h 7m,action
2. Twisters,6.5,161000.0,2h 2m,action
3. Gladiator II,6.5,218000.0,2h 28m,action
4. Sonic the Hedgehog 3,6.9,53000.0,1h 50m,action
5. Pushpa: The Rule - Part 2,6.1,54000.0,3h 21m,action
6. Venom: The Last Dance,6.0,109000.0,1h 50m,action
7. Dune: Part Two,8.5,614000.0,2h 46m,action
8. The Ministry of Ungentlemanly Warfare,6.8,132000.0,2h 2m,action
9. Deadpool & Wolverine,7.6,481000.0,2h 8m,action
10. Furiosa: A Mad Max Saga,7.5,281000.0,2h 28m,action
11. The Lord of the Rings: The War of the Rohirrim,6.3,28000.0,2h 14m,action
12. Borderlands,4.7,46000.0,1h 41m,action
13. Civil War,7.0,233000.0,1h 49m,action
14. Elevation,5.6,20000.0,1h 31m,action
15. The Beekeeper,6.3,153000.0,1h 45m,action
16. Solo Leveling: ReAwakening,8.8,8.2,2h 1m,action
17. Carry-On,6.5,160000.0,1h 59m,action
18. The Count of Monte-Cristo,7.6,33000.0,2h 58m,action
19. The Fall Guy,6.8,217000.0,2h 6m,action
20. William Tell,5.8,1.9,2h 13m,action
21. Hellboy: The Crooked Man,4.5,12000.0,1h 39m,action
22. Rebel Ridge,6.8,86000.0,2h 11m,action
23. Damsel,6.1,108000.0,1h 50m,action
24. Marco,6.9,20000.0,2h 25m,action
25. Homestead,5.4,3.4,1h 52m,action
26. The Crow,4.7,33000.0,1h 51m,action
27. Road House,6.2,166000.0,2h 1m,action
28. Transformers One,7.6,48000.0,1h 44m,action
29. Red One,6.3,138000.0,2h 3m,action
30. Argylle,5.6,92000.0,2h 19m,action
31. Kingdom of the Planet of the Apes,6.9,150000.0,2h 25m,action
32. The Killer's Game,5.8,16000.0,1h 44m,action
33. Freaky Tales,6.5,374.0,1h 46m,action
34. Madame Web,4.0,99000.0,1h 56m,action
35. Bad Boys: Ride or Die,6.5,98000.0,1h 55m,action
36. Old Guy,5.1,1.8,1h 34m,action
37. Godzilla x Kong: The New Empire,6.1,120000.0,1h 55m,action
38. Love Lies Bleeding,6.6,56000.0,1h 44m,action
39. Thelma,7.0,22000.0,1h 38m,action
40. Land of Bad,6.6,50000.0,1h 53m,action
41. Dirty Angels,4.3,3.2,1h 44m,action
42. Aftermath,5.1,3.5,1h 37m,action
43. Monkey Man,6.8,90000.0,2h 1m,action
44. Blitz,6.2,16000.0,2h,action
45. The Union,5.4,52000.0,1h 47m,action
46. Uglies,4.7,32000.0,1h 40m,action
47. Cash Out,4.8,2.8,1h 32m,action
48. Survive,4.6,2.1,1h 30m,action
49. Azrael,5.4,10000.0,1h 26m,action
50. Drive-Away Dolls,5.4,23000.0,1h 24m,action
51. Kung Fu Panda 4,6.3,67000.0,1h 34m,action
52. The Killer,5.7,12000.0,2h 6m,action
53. Attack on Titan the Movie: The Last Attack,9.2,14000.0,2h 25m,action
54. The Instigators,6.2,37000.0,1h 41m,action
55. Werewolves,4.4,6.1,1h 33m,action
56. Beverly Hills Cop: Axel F,6.4,80000.0,1h 58m,action
57. Lift,5.5,49000.0,1h 47m,action
58. Maharaja,8.4,65000.0,2h 21m,action
59. Kalki 2898 AD,7.0,66000.0,3h,action
60. Absolution,5.2,7.5,1h 52m,action
61. Arcadian,5.5,22000.0,1h 32m,action
62. Descendants: The Rise of Red,4.7,6.9,1h 31m,action
63. Apocalypse Z: The Beginning of the End,6.1,19000.0,1h 57m,action
64. Long Gone Heroes,5.2,987.0,1h 41m,action
65. Gunner,3.2,2.4,1h 46m,action
66. Atlas,5.6,55000.0,1h 58m,action
67. Brothers,5.4,13000.0,1h 29m,action
68. Canary Black,5.4,11000.0,1h 41m,action
69. Chief of Station,4.7,4.5,1h 37m,action
70. Rebel Moon - Part Two: The Scargiver,5.3,59000.0,2h 2m,action
71. Armor,3.5,3.6,1h 29m,action
72. Watchmen: Chapter I,7.0,6.3,1h 23m,action
73. The Silent Hour,6.1,7.1,1h 39m,action
74. Baby Invasion,4.7,199.0,1h 20m,action
75. Jackpot!,5.8,30000.0,1h 46m,action
76. Twilight of the Warriors: Walled In,7.0,9000.0,2h 6m,action
77. Vanvaas,6.7,1.2,2h 40m,action
78. Under Paris,5.2,36000.0,1h 44m,action
79. Weekend in Taipei,5.7,4.4,1h 40m,action
80. Hitpig,5.1,849.0,1h 26m,action
81. Baby John,5.4,17000.0,2h 39m,action
82. Classified,3.6,2.2,1h 45m,action
83. The Shadow Strays,6.5,8.9,2h 24m,action
84. Trigger Warning,4.6,19000.0,1h 46m,action
85. Boneyard,4.1,4.9,1h 36m,action
86. Hagen,6.1,1.1,2h 19m,action
87. Take Cover,5.1,2.3,1h 30m,action
88. Aavesham,7.8,27000.0,2h 35m,action
89. No Way Up,4.6,10000.0,1h 30m,action
90. Damaged,4.7,7.2,1h 37m,action
91. Red Right Hand,5.5,5.8,1h 51m,action
92. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m,action
93. Watchmen: Chapter II,7.0,2.8,1h 30m,action
94. 11 Rebels,6.2,287.0,2h 35m,action
95. Singham Again,4.8,75000.0,2h 24m,action
96. Role Play,5.5,19000.0,1h 40m,action
97. Justice League: Crisis on Infinite Earths - Part One,6.2,8.3,1h 33m,action
98. Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4,1h 34m,action
99. Sunray: Fallen Soldier,4.3,594.0,1h 55m,action
100. River of Blood,5.4,1.6,1h 26m,action
101. Hounds of War,4.5,1.7,1h 35m,action
102. Amaran,8.2,18000.0,2h 47m,action
103. Dominique,5.2,2.1,1h 40m,action
104. Code 8: Part II,5.7,16000.0,1h 40m,action
105. Hanu Man,7.7,29000.0,2h 38m,action
106. Prey,3.7,3.2,1h 26m,action
107. Rifle Club,7.0,4000.0,1h 53m,action
108. Dark Match,5.5,858.0,1h 34m,action
109. Crosspoint,7.2,30.0,1h 40m,action
110. The Thundermans Return,5.0,1.8,1h 10m,action
111. Trouble,6.2,6.6,1h 38m,action
"112. I, the Executioner",6.3,1.6,1h 58m,action
113. Night Call,6.8,1.8,1h 37m,action
114. Raqa,5.9,111.0,1h 47m,action
115. Arena Wars,4.9,2000.0,1h 36m,action
116. Jacob Tyler,4.7,47.0,2h 13m,action
