Title,Rating,Votes,Duration
1. Moana 2,6.7,90000,1h 40m
2. Flow,7.9,62000,1h 25m
3. The Day the Earth Blew Up: A Looney Tunes Movie,7,2.6,1h 31m
4. Mufasa: The Lion King,6.6,48000,1h 58m
5. The Wild Robot,8.2,153000,1h 42m
6. The Lord of the Rings: The War of the Rohirrim,6.3,28000,2h 14m
7. Despicable Me 4,6.2,63000,1h 34m
8. Solo Leveling: ReAwakening,8.8,8.2,2h 1m
9. Inside Out 2,7.5,212000,1h 36m
10. IF,6.4,57000,1h 44m
11. Memoir of a Snail,7.8,15000,1h 35m
12. Transformers One,7.6,48000,1h 44m
13. Night of the Zoopocalypse,6.3,351,1h 31m
14. Wallace & Gromit: Vengeance Most Fowl,7.5,33000,1h 22m
15. Spermageddon,5.8,628,1h 20m
16. Harold and the Purple Crayon,5.7,8000,1h 30m
17. Kung Fu Panda 4,6.3,67000,1h 34m
18. Attack on Titan the Movie: The Last Attack,9.2,14000,2h 25m
19. The Garfield Movie,5.7,24000,1h 41m
20. Spellbound,5.6,6.5,1h 49m
21. Watchmen: Chapter I,7,6.3,1h 23m
22. Look Back,7.8,14000,58m
23. Hitpig,5.1,849,1h 26m
24. Piece by Piece,6.9,5.1,1h 33m
25. The Most Precious of Cargoes,7.2,746,1h 21m
26. Orion and the Dark,6.3,17000,1h 33m
27. Grand Theft Hamlet,6.9,1.6,1h 29m
28. A Sloth Story,5.6,188,1h 30m
29. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m
30. Watchmen: Chapter II,7,2.8,1h 30m
31. Justice League: Crisis on Infinite Earths - Part One,6.2,8.3,1h 33m
32. Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4,1h 34m
33. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8,1h 22m
34. The Remarkable Life of Ibelin,8.2,12000,1h 43m
35. Thelma the Unicorn,5.7,2.9,1h 33m
36. Buffalo Kids,6.6,646,1h 33m
37. That Christmas,6.8,17000,1h 31m
38. My Hero Academia: You're Next,7,1.9,1h 50m
39. Noah's Ark,4.3,626,1h 36m
40. The Tiger's Apprentice,5.7,2.1,1h 24m
41. Ultraman: Rising,6.9,6.2,1h 57m
42. The Colors Within,7.1,831,1h 41m
43. The Glassworker,7.5,1.6,1h 38m
44. Justice League: Crisis on Infinite Earths - Part Two,5.5,5.2,1h 34m
45. Doraemon the Movie: Nobita's Earth Symphony,6.6,1.4,1h 55m
46. The Lost Tiger,7.8,39,1h 30m
47. 10 Lives,5.9,1.9,1h 28m
48. Woody Woodpecker Goes to Camp,4.5,2.5,1h 40m
49. Dan Da Dan: First Encounter,8.2,2.6,1h 23m
50. Storm Crashers,6.3,550,1h 28m
51. Mononoke the Movie: The Phantom in the Rain,6.8,1.2,1h 29m
52. My Freaky Family,6.4,390,1h 26m
53. Dragonkeeper,5.7,1.6,1h 38m
54. Dalia y el Libro Rojo,6.5,59,1h 47m
55. Limonov: The Ballad of Eddie,6,741,2h 18m
56. Frida,7.5,1.5,1h 27m
57. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7,1000,1h 30m
58. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8.3,1h 44m
59. Mars,8.9,19,1h 24m
60. Savages,7,273,1h 27m
61. Crayon Shin-chan: Ora's Dinosaur Diary,6.5,317,1h 46m
62. 200% Wolf,6,1.3,1h 38m
63. Rebellious,6,166,1h 34m
64. Johnny Puff: Secret Mission,4.8,435,1h 27m
65. The Night Before Christmas in Wonderland,6.3,509,1h 20m
66. Haikyu!! The Dumpster Battle,7.7,6000,1h 25m
67. Panda Bear in Africa,5.5,309,1h 24m
68. Blue Lock: Episode Nagi,6.6,2.4,1h 31m
