Title,Rating,Votes,Duration
1. A Complete Unknown,7.4,61000,2h 21m
2. I'm Still Here,8.4,97000,2h 17m
3. Better Man,7.6,23000,2h 15m
4. The Apprentice,7.1,51000,2h 2m
5. Queen of the Ring,6.9,847,2h 20m
6. Saturday Night,6.9,29000,1h 49m
7. Queer,6.5,18000,2h 17m
8. William Tell,5.8,1.9,2h 13m
9. Maria,6.4,18000,2h 4m
10. Reagan,6.2,11000,2h 21m
11. Nr. 24,7.5,14000,1h 51m
12. Young Woman and the Sea,7.5,17000,2h 9m
13. The Fire Inside,6.7,2.2,1h 49m
14. Audrey's Children,8.7,78,1h 50m
15. Bonhoeffer: Pastor. Spy. Assassin.,6.3,3.4,2h 13m
16. Back to Black,6.3,26000,2h 2m
17. Joy,7.1,9000,1h 55m
18. Ordinary Angels,7.4,15000,1h 58m
19. Unfrosted,5.5,34000,1h 37m
20. Being Maria,6.1,538,1h 40m
21. Winner,6.5,2.3,1h 43m
22. Faith of Angels,5.9,175,1h 38m
23. Bob Marley: One Love,6.2,34000,1h 47m
24. Monsieur Aznavour,7.3,2.2,2h 13m
25. Piece by Piece,6.9,5.1,1h 33m
26. Cabrini,7.3,8.5,2h 22m
27. Scoop,6.5,20000,1h 42m
28. Midas Man,6.4,1.5,1h 52m
29. Rob Peace,6.6,1.9,2h
30. The Remarkable Life of Ibelin,8.2,12000,1h 43m
31. Now or Never!,2.1,17000,N/A
32. Amaran,8.2,18000,2h 47m
33. Goebbels and the Führer,6.7,1.9,2h 15m
"34. From Hilde, with Love",6.9,797,2h 5m
35. One to One: John & Yoko,6.8,75,1h 40m
36. Super/Man: The Christopher Reeve Story,8,8.8,1h 44m
37. Maharaj,6.5,15000,2h 11m
38. Niki,5.9,314,1h 38m
39. Papa,7.5,307,2h 11m
40. Janis Ian: Breaking Silence,8.6,41,1h 54m
41. El 47,7.2,3.2,1h 50m
42. Chhava,8.6,2.2,51m
43. Race for Glory: Audi vs. Lancia,5.8,4.6,1h 49m
44. Amar Singh Chamkila,7.8,16000,2h 25m
45. Shirley,6.2,3.3,1h 57m
46. Avicii - I'm Tim,7.8,6.7,1h 35m
47. The Bibi Files,7.5,1000,1h 55m
48. Luther: Never Too Much,8.2,794,1h 41m
49. Freedom,5.9,1.3,1h 50m
50. Drazen,6.6,1.3,1h 40m
51. Harbin,6.5,504,1h 48m
52. Srikanth,7.4,14000,2h 14m
53. The Firing Squad,5.4,5000,1h 33m
54. Stelios,7.3,1.4,2h 12m
55. Limonov: The Ballad of Eddie,6,741,2h 18m
56. The Sidemen Story,6.7,1.7,1h 39m
57. Boléro,6.6,741,2h
58. Riefenstahl,7.2,440,1h 55m
59. Atatürk II: 1881-1919,8.9,1.9,2h 21m
60. Quisling: The Final Days,7.1,1.1,2h 26m
61. Music by John Williams,8.2,4.7,1h 45m
62. The Ballad of Davy Crockett,4.6,245,1h 36m
63. Saint-Exupéry,5.5,239,1h 38m
64. Liza: A Truly Terrific Absolutely True Story,8.2,94,1h 44m
65. Biggest Heist Ever,6.1,1.4,1h 25m
66. Jim Henson: Idea Man,7.7,3.8,1h 51m
67. Maidaan,7.9,23000,3h 1m
68. Elton John: Never Too Late,6.5,1.9,1h 42m
69. Chandu Champion,7.8,34000,2h 22m
70. Pavements,7.1,149,2h 8m
71. Marcella,9.5,12,1h 37m
72. Never Look Away,7.2,248,1h 25m
73. The Shamrock Spitfire,5.1,472,1h 48m
74. Prodigieuses,6.6,129,1h 41m
75. ZEF: The Story of Die Antwoord,7.4,773,1h 30m
76. Swatantrya Veer Savarkar,7.7,17000,2h 56m
77. Ravens,8.3,56,1h 57m
"78. Sarah Bernhardt, la divine",6.1,157,1h 38m
79. The Great Ambition,7.2,675,2h 3m
80. John Cranko,7.1,173,2h 13m
81. The Beach Boys,7.1,2.1,1h 53m
82. A Bronx Tale: The Original One Man Show,8.1,14,N/A
83. I Am: Celine Dion,7.7,7.8,1h 43m
84. Bir Cumhuriyet Sarkisi,7.7,374,2h 8m
85. Tears of Cem Karaca,7.2,1.9,2h 3m
86. Federer: Twelve Final Days,7.3,4.1,1h 28m
87. Faye,7.1,3000,1h 31m
88. Oxana,8.2,8,1h 43m
"89. Disco, Ibiza, Locomia",6,1.5,1h 44m
90. Becoming Madonna,6.9,175,1h 31m
91. Blue Road: The Edna O'Brien Story,8.2,40,1h 39m
92. The Truth vs. Alex Jones,7.5,3000,2h 1m
93. Cartas Telepáticas,5.7,32,1h 10m
94. Simona Kossak,6.1,283,1h 40m
95. Beautiful Rebel,6.3,981,1h 52m
96. Don't Ever Stop,9.3,19,1h 25m
97. Samia,6.9,123,1h 42m
98. Gundi: Legend of Love,9,5.4,2h 46m
99. National Theatre Live: Nye,8,256,2h 40m
100. La casa,7,913,1h 23m
