Title,Rating,Votes,Duration
1. Trap,5.8,132000,1h 45m
2. Longlegs,6.6,180000,1h 41m
3. Pushpa: The Rule - Part 2,6.1,54000,3h 21m
4. Emilia Pérez,5.4,85000,2h 12m
5. The Order,6.8,38000,1h 56m
6. Juror #2,7,92000,1h 54m
7. Riff Raff,5.9,1.4,1h 43m
8. Despicable Me 4,6.2,63000,1h 34m
9. The Beekeeper,6.3,153000,1h 45m
10. Carry-On,6.5,160000,1h 59m
11. MaXXXine,6.3,68000,1h 43m
12. Wolfs,6.5,79000,1h 48m
13. Rebel Ridge,6.8,86000,2h 11m
14. Marco,6.9,20000,2h 25m
15. Lucky Baskhar,8,30000,2h 28m
16. The Crow,4.7,33000,1h 51m
17. Force of Nature: The Dry 2,5.9,6.8,2h
18. Freaky Tales,6.5,374,1h 46m
19. The Seed of the Sacred Fig,7.6,12000,2h 47m
20. Bad Boys: Ride or Die,6.5,98000,1h 55m
21. Love Lies Bleeding,6.6,56000,1h 44m
22. Misericordia,6.9,1.6,1h 44m
23. Monkey Man,6.8,90000,2h 1m
24. Sleeping Dogs,6.2,21000,1h 50m
25. The Instigators,6.2,37000,1h 41m
26. Beverly Hills Cop: Axel F,6.4,80000,1h 58m
27. Lift,5.5,49000,1h 47m
28. Maharaja,8.4,65000,2h 21m
29. Killer Heat,5.6,13000,1h 35m
30. Greedy People,6.2,11000,1h 52m
31. Absolution,5.2,7.5,1h 52m
32. Long Gone Heroes,5.2,987,1h 41m
33. In Youth We Trust,7,196,2h 12m
34. Brothers,5.4,13000,1h 29m
35. Beating Hearts,7,4.1,2h 46m
36. Armor,3.5,3.6,1h 29m
37. The Silent Hour,6.1,7.1,1h 39m
38. Santosh,7,1.5,2h 8m
39. Jönssonligan kommer tillbaka,6,1.1,1h 44m
40. Twilight of the Warriors: Walled In,7,9000,2h 6m
41. Hitpig,5.1,849,1h 26m
42. Blackwater Lane,4.6,1.8,1h 48m
43. The Shadow Strays,6.5,8.9,2h 24m
44. Inside,7,218,1h 44m
45. Trigger Warning,4.6,19000,1h 46m
46. Boneyard,4.1,4.9,1h 36m
47. The Calendar Killer,5.4,4000,1h 37m
48. Dead Sea,5.3,5.2,1h 28m
49. Mea Culpa,4.2,7000,2h
50. Depravity,4.3,931,1h 57m
51. The Thicket,5.8,2.9,1h 48m
52. Damaged,4.7,7.2,1h 37m
53. The Unholy Trinity,7.9,49,1h 33m
54. Colors of Evil: Red,6.4,8.3,1h 51m
55. Kaulayaw,4.4,143,1h 35m
56. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m
57. Sector 36,7.1,25000,2h 3m
58. Code 8: Part II,5.7,16000,1h 40m
59. Detained,4.9,1.5,1h 37m
60. Here Now,4.9,341,1h 58m
61. The Thundermans Return,5,1.8,1h 10m
62. Lake George,6.3,861,1h 58m
63. Trouble,6.2,6.6,1h 38m
"64. I, the Executioner",6.3,1.6,1h 58m
65. Drugstore June,5.4,1.7,1h 31m
66. The Roundup: Punishment,6.6,5.1,1h 49m
