Title,Rating,Votes,Duration
1. No Other Land,8.3,9000,1h 32m
2. Secret Mall Apartment,8,99,1h 31m
3. The Menendez Brothers,7,9000,1h 59m
4. Black Box Diaries,7.5,3.1,1h 42m
5. 2073,5.1,1.6,1h 25m
6. Soundtrack to a Coup d'Etat,7.7,2.6,2h 30m
7. Grand Theft Hamlet,6.9,1.6,1h 29m
8. Tom Petty: Heartbreakers Beach Party,7.4,172,1h 24m
9. Cheech and Chong's Last Movie,8.1,37,2h 3m
10. The Remarkable Life of Ibelin,8.2,12000,1h 43m
11. Sugarcane,7,3.1,1h 47m
12. Will & Harper,7.4,12000,1h 54m
13. The Last Journey,7.9,5000,1h 35m
14. One to One: John & Yoko,6.8,75,1h 40m
15. Every Little Thing,7.1,203,1h 33m
16. Super/Man: The Christopher Reeve Story,8,8.8,1h 44m
17. The Thinking Game,7.6,123,1h 24m
18. Buy Now! The Shopping Conspiracy,6.7,6.1,1h 24m
19. Am I Racist?,6.7,17000,1h 40m
20. Lover Stalker Killer,7,13000,1h 30m
21. The Lost Children,7,2.6,1h 36m
22. Janis Ian: Breaking Silence,8.6,41,1h 54m
23. Chhava,8.6,2.2,51m
24. Dear Kelly,7.3,441,1h 30m
25. The Program,7.2,738,1h 42m
26. What Jennifer Did,6.1,11000,1h 27m
27. Porcelain War,7.1,1.1,1h 27m
28. Afternoons of Solitude,7.3,293,2h 5m
29. Endurance,7.5,1.6,1h 43m
30. Brats,6.5,6.9,1h 32m
31. Mogwai: If the Stars Had a Sound,7.8,57,1h 32m
32. Twiggy,7.6,58,1h 34m
33. Checkpoint Zoo,8.5,47,1h 43m
34. Yacht Rock: A Dockumentary,7.6,1.7,1h 35m
35. Avicii - I'm Tim,7.8,6.7,1h 35m
"36. My Wife, My Abuser: The Secret Footage",7.1,791,55m
37. The Bibi Files,7.5,1000,1h 55m
38. Blink,7.2,636,1h 23m
39. Luther: Never Too Much,8.2,794,1h 41m
40. Sweet Bobby: My Catfish Nightmare,6.2,5.5,1h 22m
41. Frida,7.5,1.5,1h 27m
42. Dahomey,6.8,2.5,1h 8m
43. The Sidemen Story,6.7,1.7,1h 39m
44. Hack Your Health: The Secrets of Your Gut,6.6,3.2,1h 19m
45. Jesus Crown of Thorns,5.6,54,N/A
46. The Bloody Hundredth,7.5,2.6,1h 2m
47. We Will Dance Again,7.7,11000,1h 30m
48. Riefenstahl,7.2,440,1h 55m
49. Witches,7.4,1.1,1h 30m
50. The Last Keeper,5.2,18,1h 30m
51. Getting Lost,7.2,629,N/A
52. The Greatest Night in Pop,7.9,15000,1h 36m
53. Bad Faith,7.4,1.3,1h 29m
54. Billy & Molly: An Otter Love Story,8,1.8,1h 17m
55. Beatles '64,7.2,2.4,1h 46m
56. Music by John Williams,8.2,4.7,1h 45m
57. The Blue Angels,7.3,2.7,1h 33m
58. Ms. President,8.1,144,1h 48m
59. Bambi: A Tale of Life in the Woods,5.6,152,1h 25m
60. Martha,7.2,3.9,1h 55m
61. The Blind Sea,5.8,39,1h 34m
62. Liza: A Truly Terrific Absolutely True Story,8.2,94,1h 44m
63. Biggest Heist Ever,6.1,1.4,1h 25m
64. A New Kind of Wilderness,7.6,1.1,1h 24m
65. Jim Henson: Idea Man,7.7,3.8,1h 51m
66. Agent of Happiness,7.2,1.1,1h 33m
67. Skywalkers: A Love Story,7.1,3.5,1h 40m
68. ¡Casa Bonita Mi Amor!,7.5,1.3,1h 28m
69. Daughters,7.6,1.6,1h 48m
70. Jamie Foxx: What Had Happened Was...,5.8,2000,1h 8m
71. How to Rob a Bank,6.6,4.1,1h 28m
72. Separated,6.6,173,1h 33m
73. Elton John: Never Too Late,6.5,1.9,1h 42m
74. From Ground Zero,7.9,502,1h 52m
75. Wicked: The Real Story,7.2,16,1h 30m
76. Ernest Cole: Lost and Found,7.2,272,1h 45m
77. Swamp Dogg Gets His Pool Painted,8.9,40,1h 35m
78. Two Strangers Trying Not to Kill Each Other,7.4,79,1h 40m
79. Wishing on a Star,6.6,128,1h 39m
80. Einstein and the Bomb,6.2,4000,1h 16m
81. Inside the Mind of a Dog,7.2,2.1,1h 15m
82. Pavements,7.1,149,2h 8m
83. The Real Full Monty,7.3,141,N/A
84. Stormy,6.4,1.1,1h 49m
85. Marcella,9.5,12,1h 37m
86. Never Look Away,7.2,248,1h 25m
87. The Day Iceland Stood Still,8.5,58,1h 10m
88. Made in England: The Films of Powell and Pressburger,7.9,1.3,2h 11m
89. Aliens Expanded,8.2,517,4h 42m
90. The Last Republican,7.7,64,1h 30m
91. ZEF: The Story of Die Antwoord,7.4,773,1h 30m
92. Apollo 13: Survival,7.3,2.3,1h 38m
93. Jailbreak: Love on the Run,6.4,3.1,1h 28m
94. DIG! XX,7.9,64,2h 26m
95. Child Star,6.5,1.3,1h 38m
96. The Commandant's Shadow,7.3,1000,1h 43m
97. Battle for Disclosure,5.5,204,2h 21m
