Title,Rating,Votes,Duration
1. Moana 2,6.7,90000,1h 40m
2. Flow,7.9,62000,1h 25m
3. The Day the Earth Blew Up: A Looney Tunes Movie,7,2.6,1h 31m
4. Sonic the Hedgehog 3,6.9,53000,1h 50m
5. Mufasa: The Lion King,6.6,48000,1h 58m
6. Paddington in Peru,6.7,18000,1h 46m
7. Despicable Me 4,6.2,63000,1h 34m
8. Inside Out 2,7.5,212000,1h 36m
9. IF,6.4,57000,1h 44m
10. Transformers One,7.6,48000,1h 44m
11. Wallace & Gromit: Vengeance Most Fowl,7.5,33000,1h 22m
12. Harold and the Purple Crayon,5.7,8000,1h 30m
13. Kung Fu Panda 4,6.3,67000,1h 34m
14. Young Hearts,8.1,4.5,1h 39m
15. The Garfield Movie,5.7,24000,1h 41m
16. The Forge,6.7,4.6,2h 4m
17. Descendants: The Rise of Red,4.7,6.9,1h 31m
18. Spellbound,5.6,6.5,1h 49m
19. How to Make Millions Before Grandma Dies,8,13000,2h 5m
20. My Penguin Friend,6.7,4.8,1h 37m
21. Hitpig,5.1,850,1h 26m
22. Faith of Angels,5.9,175,1h 38m
23. Piece by Piece,6.9,5.1,1h 33m
24. You Gotta Believe,5.8,1.3,1h 44m
25. Unsung Hero,7,4.9,1h 53m
26. Orion and the Dark,6.3,17000,1h 33m
27. A Sloth Story,5.6,188,1h 30m
28. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m
29. Lost on a Mountain in Maine,6.2,1.1,1h 38m
30. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8,1h 22m
31. Big World,7.3,1.1,2h 11m
32. Thelma the Unicorn,5.7,2.9,1h 33m
33. Buffalo Kids,6.6,646,1h 33m
34. The Thundermans Return,5,1.8,1h 10m
35. Fear,8.5,2.8,1h 55m
36. That Christmas,6.8,17000,1h 31m
37. Noah's Ark,4.3,626,1h 36m
38. Woodwalkers,5.3,361,1h 43m
39. Guest from the Future,6,1.2,2h 21m
40. The Tiger's Apprentice,5.7,2.1,1h 24m
41. Ultraman: Rising,6.9,6.2,1h 57m
42. Doraemon the Movie: Nobita's Earth Symphony,6.6,1.4,1h 55m
43. The Lost Tiger,7.9,40,1h 30m
44. 10 Lives,5.9,1.9,1h 28m
45. Runt,6.4,505,1h 31m
46. Panda Plan,5.1,1.1,1h 39m
47. Autumn and the Black Jaguar,5.6,973,1h 40m
48. Woody Woodpecker Goes to Camp,4.5,2.5,1h 40m
49. Storm Crashers,6.3,550,1h 28m
50. My Freaky Family,6.4,390,1h 26m
51. The Magician's Raincoat,5.7,90,N/A
52. Dalia y el Libro Rojo,6.5,59,1h 47m
53. Bibi Rajni,8.6,708,2h 23m
54. Meiyazhagan,8.4,13000,2h 57m
55. Rajakili,7.7,558,2h 2m
56. Savages,7,273,1h 27m
57. Crayon Shin-chan: Ora's Dinosaur Diary,6.5,317,1h 46m
58. 200% Wolf,6,1.3,1h 38m
59. Rebellious,6,166,1h 34m
60. Bila Esok Ibu Tiada,6.5,250,1h 44m
61. Bambi: A Tale of Life in the Woods,5.6,152,1h 25m
62. The Night Before Christmas in Wonderland,6.3,509,1h 20m
63. Average Joe,4.2,560,1h 40m
64. Man and Witch: The Dance of a Thousand Steps,5.5,327,1h 34m
65. The Groomsmen: First Look,6.1,379,1h 22m
66. Panda Bear in Africa,5.5,309,1h 24m
67. Ryan's World the Movie: Titan Universe Adventure,1.8,655,1h 20m
68. A Sudden Case of Christmas,5.1,1.1,1h 31m
69. Niko: Beyond the Northern Lights,6.2,307,1h 26m
70. And the Breadwinner Is...,6.8,241,2h 3m
71. Ghost Cat Anzu,6.5,721,1h 37m
72. Believe in Christmas,6.1,820,1h 30m
73. Robin and the Hoods,4.4,504,1h 40m
