Title,Rating,Votes,Duration
1. Moana 2,6.7,90000,1h 40m
2. Wicked,7.5,145000,2h 40m
3. Nosferatu,7.3,181000,2h 12m
4. Flow,7.9,62000,1h 25m
5. Sonic the Hedgehog 3,6.9,53000,1h 50m
6. Mufasa: The Lion King,6.6,48000,1h 58m
7. Better Man,7.6,23000,2h 15m
8. Parthenope,6.6,9.5,2h 17m
9. The Lord of the Rings: The War of the Rohirrim,6.3,28000,2h 14m
10. Megalopolis,4.7,35000,2h 18m
11. Solo Leveling: ReAwakening,8.8,8.5,2h 1m
12. Beetlejuice Beetlejuice,6.7,144000,1h 45m
13. Inside Out 2,7.5,212000,1h 36m
14. The Life of Chuck,7.7,463,1h 50m
15. Damsel,6.1,108000,1h 50m
16. The Watchers,5.7,56000,1h 42m
17. The Crow,4.7,33000,1h 51m
18. IF,6.4,57000,1h 44m
19. Transformers One,7.6,48000,1h 44m
20. Red One,6.3,138000,2h 3m
21. Godzilla x Kong: The New Empire,6.1,120000,1h 55m
22. Ghostbusters: Frozen Empire,6.1,92000,1h 55m
23. Uglies,4.7,32000,1h 40m
24. Harold and the Purple Crayon,5.7,8000,1h 30m
25. Kung Fu Panda 4,6.3,67000,1h 34m
26. The Garfield Movie,5.7,24000,1h 41m
27. Kalki 2898 AD,7,66000,3h
28. Descendants: The Rise of Red,4.7,6.9,1h 31m
29. Spellbound,5.6,6.5,1h 49m
30. Rebel Moon - Part Two: The Scargiver,5.3,59000,2h 2m
31. This Is Me... Now,4.1,7.1,1h 5m
32. The End,5.5,1.6,2h 28m
33. Irish Wish,5.2,21000,1h 33m
34. Girl Haunts Boy,6.3,2.8,1h 40m
35. Monster Summer,5.7,3.5,1h 37m
36. The Tearsmith,5.2,12000,1h 43m
37. Hagen,6.1,1.1,2h 19m
38. The American Society of Magical Negroes,3.7,12000,1h 44m
39. Orion and the Dark,6.3,17000,1h 33m
40. The Wonderful Story of Henry Sugar and Three More,7.1,6.3,1h 28m
41. Bhool Bhulaiyaa 3,4.7,77000,2h 38m
42. Family Pack,5.5,8.7,1h 34m
43. The Best Christmas Pageant Ever,6.8,6000,1h 39m
44. Justice League: Crisis on Infinite Earths - Part One,6.2,8.3,1h 33m
45. Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4,1h 34m
46. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8,1h 22m
47. Dear Santa,5.4,18000,1h 47m
48. The Balconettes,6.3,758,1h 44m
49. Thelma the Unicorn,5.7,2.9,1h 33m
50. Pedro Páramo,6.3,2.8,2h 10m
51. Hanu Man,7.7,29000,2h 38m
52. Buffalo Kids,6.6,646,1h 33m
53. The Thundermans Return,5,1.8,1h 10m
54. Hot Frosty,5.3,15000,1h 32m
55. The Sand Castle,4.7,1.6,1h 38m
56. Seven Cemeteries,4.5,519,1h 24m
57. That Christmas,6.8,17000,1h 31m
58. Woodwalkers,5.3,361,1h 43m
59. The Tiger's Apprentice,5.7,2.1,1h 24m
60. Ultraman: Rising,6.9,6.2,1h 57m
61. Cinderella's Curse,3.3,1.3,1h 22m
62. Timestalker,5.5,2.9,1h 29m
63. Justice League: Crisis on Infinite Earths - Part Two,5.5,5.2,1h 34m
64. Doraemon the Movie: Nobita's Earth Symphony,6.6,1.4,1h 55m
65. Angels Fallen: Warriors of Peace,4.9,5.8,1h 43m
66. The Lost Tiger,7.9,40,1h 30m
67. A Dog's Will 2,6.3,2.8,1h 44m
68. 10 Lives,5.9,1.9,1h 28m
69. Woody Woodpecker Goes to Camp,4.5,2.5,1h 40m
70. Cinderella's Revenge,3.7,1.1,1h 25m
71. Dan Da Dan: First Encounter,8.2,2.6,1h 23m
72. Mononoke the Movie: The Phantom in the Rain,6.8,1.2,1h 29m
73. Dragonkeeper,5.7,1.6,1h 38m
74. The Magician's Raincoat,5.7,90,N/A
75. Dalia y el Libro Rojo,6.5,59,1h 47m
76. Warchief,2.5,601,1h 34m
77. Unspeakable: Beyond the Wall of Sleep,5.9,39,1h 30m
78. Alienoid: The Return to the Future,6.5,2.5,2h 2m
79. Chantal in Fairyland,4.6,2.6,1h 58m
80. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8.3,1h 44m
81. Mars,8.9,19,1h 24m
82. Harry Potter and the Stone,8,156,2h 32m
83. 200% Wolf,6,1.3,1h 38m
84. Rebellious,6,166,1h 34m
85. The Night Before Christmas in Wonderland,6.3,509,1h 20m
86. Man and Witch: The Dance of a Thousand Steps,5.5,327,1h 34m
87. Devil's Knight,5.4,780,1h 30m
88. Thangalaan,6.6,6.5,2h 36m
89. A.R.M,7.1,8.5,2h 30m
90. Panda Bear in Africa,5.5,309,1h 24m
91. Ryan's World the Movie: Titan Universe Adventure,1.8,655,1h 20m
92. Overlord: The Sacred Kingdom,7,704,2h 15m
93. Kanguva,4.5,14000,2h 32m
94. Niko: Beyond the Northern Lights,6.2,307,1h 26m
"95. Love, Danielle",8.9,38,1h 19m
96. Assassin's Guild,3.7,113,1h 43m
97. Cells at Work!,6.8,172,1h 49m
98. Ghost Cat Anzu,6.5,721,1h 37m
99. Robin and the Hoods,4.4,504,1h 40m
100. Barroz: Guardian of Treasures,3.6,958,2h 35m
101. Snatched a Billionaire to Be My Husband,7.6,650,1h 10m
102. Sketch,8.3,42,1h 32m
103. White Snake: Afloat,6.9,436,2h 13m
104. Super-Charlie,6.3,108,1h 20m
105. The Invisibles,5.9,454,1h 51m
106. Else,6.1,227,1h 40m
107. The Keepers of the 5 Kingdoms,4.1,217,1h 49m
108. Balestra,5,516,2h 25m
109. Schneewittchen,N/A,N/A,1h 10m
110. School of Magical Animals 3,5.9,298,1h 45m
111. The Witch: Revenge,5.3,779,1h 40m
112. Nonostante,5.9,72,1h 33m
113. The Sleeping Woman,5.2,553,1h 50m
114. Shrek 5: The Contract - A Fan Made Film,7,18,1h 24m
115. The Opera!,7.2,46,1h 46m
116. The Goat,6,91,1h 40m
117. A Trip Elsewhere,5.5,97,1h 33m
118. The Slave and the Sorcerer,6.7,38,1h 26m
119. Witch,5.1,1.4,1h 47m
120. Dongeng Sang Kancil,8.3,80,1h 39m
121. Lesbian Space Princess,8,98,1h 27m
122. Orang Ikan,6.5,31,1h 23m
123. The Phantom Warrior,2.4,553,1h 59m
124. The Casagrandes Movie,5.6,657,1h 29m
125. Once Upon a Christmas Wish,6.1,315,1h 30m
"126. Maya, donne-moi un titre",6.4,48,1h 1m
127. Tim Travers & the Time Travelers Paradox,6.9,273,1h 35m
128. Big City Greens the Movie: Spacecation,6.2,534,TV-Y7
129. UmroAyyar - A New Beginning,6.9,670,2h 15m
130. The Yin Yang Master Zero,5.7,257,1h 52m
131. Sun and Moon,N/A,N/A,2h 43m
132. Enchanting Christmas,6.3,351,1h 31m
133. Witch Hunter,5.2,23,1h 20m
134. Last Song for You,7.3,91,1h 50m
135. Aalan,6.3,1.1,2h 17m
136. My Oni Girl,6,1.7,1h 52m
137. Elli and the Ghostly Ghost Train,5,89,1h 26m
"138. Die Heinzels: Neue Mützen, Neue Mission",6.4,74,1h 16m
139. The Ballad of Hortensia,6.7,126,1h 34m
140. Fuuto PI: Portrait of Kamen Rider Skull,7.6,31,1h 22m
141. Letuchiy korabl,3.8,291,1h 40m
142. Bremenskie muzykanty,4.6,662,1h 55m
143. Spirit World,5.7,57,1h 34m
144. Fidil Ghorm,7.8,7,1h 26m
145. Empire Queen: The Golden Age of Magic,3.2,204,2h 28m
146. Heartsping : Teenieping of Love,7,22,TV-Y
147. Phallacies,N/A,N/A,1h 41m
148. Hanami,6.8,98,1h 36m
149. Gypsy Moon,5.1,14,N/A
150. Zak & Wowo: The Legend of Lendarys,5.7,86,1h 25m
151. The Legend Hunters,5.3,19,N/A
152. Una ballena,6,48,1h 48m
153. Taisu Xilie,N/A,N/A,1h 40m
154. Gaami,6.4,2000,2h 27m
155. The Epidemic,5.8,69,1h 35m
156. The Sisters,4.7,147,2h 2m
157. White Cobra Diamond Fox vs the Golden Eye,5.2,24,1h 30m
158. Vertical,5.2,118,1h 51m
159. Dr. Sander's Sleep Cure,6.3,682,1h 38m
160. King Baby,7,24,1h 28m
161. Oshi no Ko: The Final Act,7.7,94,2h 9m
162. We Work for the Dead,6.7,505,1h 24m
163. Seven Seas Seven Hills,8.7,86,1h 30m
164. River of Ghosts,3,302,1h 42m
165. Mayan,8.8,130,1h 53m
166. War of the Ninja Monsters: Jaron vs Goura,N/A,N/A,55m
167. The Time Travel Hills,5.8,68,1h 22m
168. Dead Dead Demon's Dededede Destruction,7,139,2h
169. My Future You,8.5,45,1h 49m
170. Witchy Ways,6.9,35,N/A
171. Nyctophobia,7.6,1.8,1h 30m
172. My Redneck Neighbor: Chapter 2 - Let the Games Begin,N/A,N/A,55m
173. Deadlands - A Fly Story,N/A,N/A,N/A
174. The Heartsmith,9.6,42,1h 35m
175. Bodegón con fantasmas,6.5,148,1h 28m
176. The Vord,3.4,64,1h 41m
177. Schirkoa: In Lies We Trust,5.6,154,1h 43m
178. A Song from the Dark,4.8,2.2,1h 45m
179. All In,5.6,84,1h 43m
180. Don Dukun,7,48,1h 38m
181. The Evil Fairy Queen,5.5,46,1h 30m
182. Saint Young Men: Holy Men vs Demon Army,3,13,1h 33m
183. Case Files,N/A,N/A,N/A
184. The Fisherman,7.1,41,1h 45m
185. Penguin Girl,6.9,11,1h 38m
186. The Woods Are Real,2.4,458,1h 20m
187. Captain Avispa,5.8,172,1h 36m
188. The Worlds Divide,8,36,2h
189. Baba Yaga spasaet Novyy god,4.4,113,1h 39m
190. Perfect Blue,7.4,5,N/A
191. Letters at Christmas,3.7,169,1h 24m
192. Fureru,6.4,23,1h 47m
193. Princesa Adormecida,3.8,152,1h 20m
194. Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9,83,2h 18m
195. The Proud Princess,7.2,100,1h 24m
196. SuperKlaus,4.3,196,1h 28m
197. Respati,5.8,279,1h 52m
198. Bhairadevi,8.8,44,2h 14m
199. Hold Me Close,7,10,1h 38m
200. Princess Halle and the Jester,4.7,60,1h 11m
