Title,Rating,Votes,Duration
1. I'm Still Here,8.4,97000,2h 17m
2. The Apprentice,7.1,51000,2h 2m
3. September 5,7.1,21000,1h 35m
4. Saturday Night,6.9,29000,1h 49m
5. The Count of Monte-Cristo,7.6,33000,2h 58m
6. Queer,6.5,18000,2h 17m
7. William Tell,5.8,1.9,2h 13m
8. Small Things Like These,6.8,21000,1h 38m
9. The Six Triple Eight,6.7,25000,2h 7m
10. The Girl with the Needle,7.5,12000,2h 3m
11. The Return,6.2,7.6,1h 56m
12. Reagan,6.2,11000,2h 21m
13. Blitz,6.2,16000,2h
14. Bonhoeffer: Pastor. Spy. Assassin.,6.3,3.4,2h 13m
15. Vermiglio,6.9,3.6,1h 59m
16. Joy,7.1,9000,1h 55m
17. The Devil's Bath,6.6,5.9,2h 1m
18. Unfrosted,5.5,34000,1h 37m
19. The Children's Train,7.4,6.8,1h 46m
20. Being Maria,6.1,539,1h 40m
21. 11 Rebels,6.2,291,2h 35m
22. Waves,8.1,1.5,2h 11m
23. Escape from Germany,5.3,911,1h 37m
24. Now or Never!,2.1,17000,N/A
25. Goebbels and the Führer,6.7,1.9,2h 15m
26. Grand Tour,6.5,1.4,2h 8m
"27. From Hilde, with Love",6.9,803,2h 5m
28. Maharaj,6.5,15000,2h 11m
29. The New Year That Never Came,8.2,4.9,2h 18m
30. Uprising,6.6,5.3,2h 6m
31. Seize Them!,5.1,1.2,1h 31m
32. Janis Ian: Breaking Silence,8.6,41,1h 54m
33. Chhava,8.6,2.2,51m
34. The Flood,6.7,182,1h 41m
35. Color of Victory,6.1,40000,2h 37m
36. Harvest,6.1,329,2h 11m
37. Shirley,6.2,3.3,1h 57m
38. Harbin,6.5,508,1h 48m
39. Before Dawn,5.4,934,1h 41m
40. Golden Kamuy,6.3,2.5,2h 7m
41. Intoxicated by Love,8.5,12000,1h 58m
42. Limonov: The Ballad of Eddie,6,744,2h 18m
43. No Chains No Masters,6.4,486,1h 38m
44. Bushido,6.8,243,2h 9m
45. Bibi Rajni,8.6,709,2h 23m
46. Jesus Crown of Thorns,5.6,54,N/A
47. The Last Front,5.5,603,1h 38m
48. Witches,7.4,1.1,1h 30m
49. Razakar: The Silent Genocide of Hyderabad,7.4,5.3,2h 46m
50. In Her Place,6.2,1.4,1h 36m
51. Atatürk II: 1881-1919,8.9,1.9,2h 21m
52. Shivrayancha Chhava,7.1,407,1h 20m
53. Quisling: The Final Days,7.1,1.1,2h 26m
54. The Ballad of Davy Crockett,4.6,245,1h 36m
55. Kingdom 4: Return of the Great General,7.1,1.2,2h 25m
56. Maidaan,7.9,23000,3h 1m
57. Thangalaan,6.6,6.5,2h 36m
