Title,Rating,Votes,Duration
1. The Substance,7.3,283000,2h 21m
2. Heretic,7,123000,1h 51m
3. Trap,5.8,132000,1h 45m
4. Nosferatu,7.3,181000,2h 12m
5. Longlegs,6.6,180000,1h 41m
6. Presence,6.1,18000,1h 24m
7. Smile 2,6.7,98000,2h 7m
8. Alien: Romulus,7.1,239000,1h 59m
9. Speak No Evil,6.8,93000,1h 50m
10. MaXXXine,6.3,68000,1h 43m
11. Kinds of Kindness,6.5,58000,2h 44m
12. Beetlejuice Beetlejuice,6.7,144000,1h 45m
13. Abigail,6.6,95000,1h 49m
14. Hellboy: The Crooked Man,4.5,12000,1h 39m
15. The Watchers,5.7,56000,1h 42m
16. Terrifier 3,6.3,47000,2h 5m
17. The Crow,4.7,33000,1h 51m
18. A Quiet Place: Day One,6.3,146000,1h 39m
19. Nightbitch,5.6,19000,1h 39m
20. Oddity,6.7,40000,1h 38m
21. Y2K,4.8,10000,1h 31m
22. I Saw the TV Glow,5.8,35000,1h 40m
23. The Rule of Jenny Pen,6.6,687,1h 44m
24. The Shrouds,5.8,751,1h 59m
25. Don't Move,5.8,38000,1h 32m
26. Afraid,5.2,13000,1h 24m
27. Cuckoo,5.7,25000,1h 42m
28. Night of the Zoopocalypse,6.3,353,1h 31m
29. In a Violent Nature,5.6,25000,1h 34m
30. Immaculate,5.8,52000,1h 29m
31. We Bury the Dead,7.1,88,1h 34m
32. Never Let Go,5.4,14000,1h 41m
33. Bagman,4.6,4.5,1h 33m
34. Azrael,5.4,10000,1h 26m
35. Werewolves,4.4,6.1,1h 33m
36. Stree 2: Sarkate Ka Aatank,6.9,41000,2h 27m
37. The First Omen,6.5,63000,1h 59m
38. Salem's Lot,5.6,33000,1h 54m
39. Rumours,5,4.3,1h 44m
40. Apartment 7A,5.9,16000,1h 47m
41. MadS,6.4,7000,1h 29m
42. Tarot,4.8,31000,1h 32m
43. Exhuma,6.9,23000,2h 14m
44. Die Alone,5.7,2.7,1h 31m
45. Get Away,5.3,6.2,1h 26m
46. Time Cut,5,18000,1h 31m
47. Arcadian,5.5,22000,1h 32m
48. Apocalypse Z: The Beginning of the End,6.1,19000,1h 57m
49. The Deliverance,5.1,22000,1h 52m
50. The Devil's Bath,6.6,5.9,2h 1m
51. Winnie-the-Pooh: Blood and Honey 2,4.7,11000,1h 33m
52. Bloody Axe Wound,4.8,593,1h 23m
53. The Damned,5.7,3.7,1h 29m
54. Your Monster,6.4,5.5,1h 43m
55. Grafted,5.6,2.1,1h 36m
56. Curse of the Seven Oceans,5.6,306,1h 34m
57. Baby Invasion,4.6,223,1h 20m
58. The Strangers: Chapter 1,4.6,22000,1h 31m
59. The Mouse Trap,2.5,3.1,1h 20m
60. Stream,5.7,7.4,2h 3m
61. Under Paris,5.2,36000,1h 44m
62. Lisa Frankenstein,6.1,28000,1h 41m
63. Wanita Ahli Neraka,5.2,178,1h 35m
64. Blackwater Lane,4.6,1.8,1h 48m
65. The Platform 2,4.9,39000,1h 39m
66. A Sacrifice,5.1,5.1,1h 34m
67. Things Will Be Different,5.2,2.3,1h 42m
68. Little Bites,4.6,1.1,1h 45m
69. Succubus,4.6,1.2,1h 43m
70. The Front Room,4.6,5.2,1h 34m
71. Daddy's Head,5.6,4.7,1h 32m
72. Humane,5.5,7000,1h 33m
73. The Radleys,5,2.7,1h 55m
74. The Beast Within,4.2,4.4,1h 37m
75. The Inheritance,4.7,2.8,1h 25m
76. V/H/S/Beyond,5.8,9.2,1h 54m
77. Sting,5.7,16000,1h 31m
78. Snakeeater,5.3,210,1h 20m
79. Bramayugam,7.8,14000,2h 19m
80. Hold Your Breath,5.3,8.4,1h 34m
81. The Exorcism,4.2,11000,1h 35m
82. #MissingCouple,5.3,502,1h 33m
83. The Dead Thing,4.7,837,1h 34m
84. The Redemption of Sin,6,150,1h 56m
85. Blood Star,6.3,2.2,1h 37m
86. Night Swim,4.7,27000,1h 38m
87. Imaginary,4.7,17000,1h 44m
88. Bhool Bhulaiyaa 3,4.7,77000,2h 38m
89. Sumala,5.8,800,1h 52m
90. Handling the Undead,5.4,4.2,1h 37m
91. Outside,5.1,4.5,2h 22m
92. Outbreak,4.4,815,1h 28m
93. Lowlifes,6.2,6.2,1h 30m
94. The Little Mermaid,3.7,165,1h 29m
95. Year 10,5.4,1.8,1h 36m
96. River of Blood,5.4,1.6,1h 26m
97. Swap,3,330,1h 26m
98. The Balconettes,6.3,759,1h 44m
99. The Curse of the Necklace,4.5,975,1h 39m
100. The Windigo,4.7,680,1h 25m
101. Pedro Páramo,6.3,2.8,2h 10m
102. I Heard You Buy Souls,2.1,32,1h 28m
103. Goldilocks and the Three Bears: Death and Porridge,2.2,1.5,1h 22m
104. Spin the Bottle,3.5,890,2h 4m
105. I Don't Understand You,7.1,69,1h 36m
106. Dark Match,5.5,864,1h 34m
107. Mother Father Sister Brother Frank,5.9,207,1h 25m
108. Lembayung,6,669,2h 3m
109. Something in the Water,4.1,4.5,1h 26m
110. Lumina,2.2,649,1h 53m
111. Shaitaan,6.5,54000,2h 12m
112. Death Whisperer 2,6.4,1.3,1h 50m
113. Dead Teenagers,3.7,89,1h 20m
114. Street Trash,4.5,764,1h 25m
115. House of Spoils,5,3.7,1h 41m
116. The Lost Daughter,5.8,279,1h 39m
117. Seven Cemeteries,4.5,519,1h 24m
118. The Soul Eater,5.9,2.5,1h 48m
119. Shell,6.6,67,1h 40m
120. Shelby Oaks,6,239,1h 39m
121. Mr. Crocket,5.4,4.5,1h 28m
122. Desert Fiends,8.5,385,1h 46m
123. The Painted,4.8,272,1h 25m
124. Shark Girl,2.6,146,1h 22m
125. Munjya,6.3,25000,2h 3m
126. 1978,5.5,178,1h 16m
127. Freelance,4.8,319,1h 50m
128. Frewaka,6.3,141,1h 43m
129. Cinderella's Curse,3.3,1.3,1h 22m
130. Wolves Against the World,4,46,1h 28m
131. The Wailing,6.1,1000,1h 47m
132. Milk & Serial,6.6,2.4,1h 2m
133. Mom,5.2,157,1h 35m
134. Angels Fallen: Warriors of Peace,4.9,5.8,1h 43m
135. The Corpse Washer,6.2,1.1,1h 47m
136. Séance Games: Metaxu,3.4,172,1h 26m
137. Director's Cut,7.6,83,1h 30m
138. Carved,4.4,2.7,1h 35m
139. Love Me Dead,6.5,32,1h 27m
140. You Can't Run Forever,4.5,4.3,1h 42m
141. Witchboard,7.6,88,1h 55m
142. Succubus,3.5,829,1h 36m
143. Out Come the Wolves,4.7,1.4,1h 26m
144. Queen of Bones,7.2,58,1h 30m
145. Operation Blood Hunt,3.5,460,1h 33m
146. Black Cab,4.2,1.6,1h 28m
147. Curse of the Sin Eater,4.9,723,1h 30m
148. Cinderella's Revenge,3.7,1.1,1h 25m
149. Model House,4,1.1,1h 25m
150. Dan Da Dan: First Encounter,8.2,2.6,1h 23m
151. Mononoke the Movie: The Phantom in the Rain,6.8,1.2,1h 29m
152. Killer Body Count,4.7,635,1h 49m
153. Anaconda,4.9,603,1h 24m
154. Heresy,6.9,277,1h 1m
155. Rippy,4.1,823,1h 23m
156. Dead Talents Society,7.4,808,1h 45m
157. Sunrise,3.8,998,1h 33m
158. Latency,4.2,1.7,1h 34m
159. Devils Stay,4.8,256,1h 35m
160. Crescent City,3.9,1.3,1h 43m
161. Cloud,6.3,912,2h 3m
162. The Girl Who Wore Yellow Lace,4.6,15,1h 22m
163. Unspeakable: Beyond the Wall of Sleep,5.9,39,1h 30m
164. Ick,5.6,197,1h 27m
165. DarkGame,4.6,2.8,1h 40m
166. Mutants of Nature Cove,3.6,148,1h 28m
167. Hell Hole,4.4,1.3,1h 32m
168. Butchers Book Two: Raghorn,4.1,542,1h 28m
169. #AMFAD: All My Friends Are Dead,4.4,1.2,1h 31m
170. The Ghost,7.4,75,1h 32m
171. Here After,4.1,1.3,1h 33m
172. Murder Mubarak,5.8,51000,2h 20m
173. Are You There?,7,45,1h 28m
