Title,Rating,Votes,Duration
1. A Complete Unknown,7.4,62000,2h 21m
2. Better Man,7.6,23000,2h 15m
3. Maria,6.4,18000,2h 4m
4. Kneecap,7.6,17000,1h 45m
5. Descendants: The Rise of Red,4.7,6.9,1h 31m
6. Back to Black,6.3,26000,2h 2m
7. This Is Me... Now,4.1,7.1,1h 5m
8. Find Me Falling,6.3,13000,1h 33m
9. Bob Marley: One Love,6.2,34000,1h 47m
10. Monsieur Aznavour,7.3,2.2,2h 13m
11. The Piano Lesson,6.2,4.8,2h 7m
12. Soundtrack to a Coup d'Etat,7.7,2.6,2h 30m
13. Midas Man,6.4,1.5,1h 52m
14. Standing on the Shoulders of Kitties,6.2,503,1h 51m
15. The Greatest Hits,6.2,7.3,1h 34m
16. Janis Ian: Breaking Silence,8.6,41,1h 54m
17. The Colors Within,7.1,837,1h 41m
18. Nova & Alice,6,256,1h 50m
19. Doraemon the Movie: Nobita's Earth Symphony,6.6,1.4,1h 55m
20. Mogwai: If the Stars Had a Sound,7.7,58,1h 32m
21. Amar Singh Chamkila,7.8,16000,2h 25m
22. Yacht Rock: A Dockumentary,7.6,1.7,1h 35m
23. Avicii - I'm Tim,7.8,6.7,1h 35m
24. Luther: Never Too Much,8.2,795,1h 41m
25. Stelios,7.3,1.4,2h 12m
26. GHOST: Rite Here Rite Now,8.6,1.9,2h 25m
27. Boléro,6.6,741,2h
28. The Greatest Night in Pop,7.9,15000,1h 36m
29. Beatles '64,7.2,2.4,1h 46m
30. Music by John Williams,8.2,4.7,1h 45m
31. Música,6.4,5000,1h 31m
32. Elton John: Never Too Late,6.5,1.9,1h 42m
33. Swamp Dogg Gets His Pool Painted,8.9,41,1h 35m
34. Pavements,7,151,2h 8m
35. ZEF: The Story of Die Antwoord,7.4,773,1h 30m
36. Gloria!,6.6,962,1h 46m
37. Movie Given Hiiragi Mix.,7.4,139,1h 10m
38. The Neon Highway,6,485,1h 53m
39. Return of the King: The Fall and Rise of Elvis Presley,7.6,1.9,1h 30m
40. The Beach Boys,7.1,2.1,1h 53m
41. Deaner '89,5.9,415,1h 30m
42. I Am: Celine Dion,7.7,7.8,1h 43m
43. Tears of Cem Karaca,7.2,1.9,2h 3m
44. Blur: To the End,7.2,648,1h 44m
45. Saturn Return,6.5,1.2,1h 49m
"46. Disco, Ibiza, Locomia",6,1.5,1h 44m
47. Becoming Madonna,6.9,176,1h 31m
48. American Dream: The 21 Savage Story,N/A,N/A,N/A
49. The Extraordinary Miss Flower,7.4,20,1h 13m
50. Beautiful Rebel,6.3,982,1h 52m
51. Don't Ever Stop,9.3,19,1h 25m
52. If Jack Reacher Could Sing,7.3,11,31m
53. Diddy: Summit to Plummet,2.2,200,1h
54. Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,195,N/A
55. Diane Warren: Relentless,7.4,55,1h 31m
56. Levoton Tuhkimo,6.4,406,1h 28m
57. Given 3: To the Sea,8.4,11,1h 20m
58. Off the Record,N/A,N/A,1h 35m
59. Technoboys,5.2,961,1h 49m
60. Devo,7.2,84,1h 30m
61. Rock Bottom,7,39,1h 26m
62. Eno,7.9,294,1h 25m
