Title,Rating,Votes,Duration
1. Moana 2,6.7,91000,1h 40m
2. Wicked,7.5,145000,2h 40m
3. Mufasa: The Lion King,6.6,48000,1h 58m
4. Better Man,7.6,23000,2h 15m
5. Emilia Pérez,5.4,85000,2h 12m
6. Joker: Folie à Deux,5.2,157000,2h 18m
7. Mean Girls,5.5,37000,1h 52m
8. Spermageddon,5.8,632,1h 20m
9. Descendants: The Rise of Red,4.7,6.9,1h 31m
10. Spellbound,5.6,6.5,1h 49m
11. This Is Me... Now,4.1,7.1,1h 5m
12. The End,5.5,1.6,2h 28m
13. Piece by Piece,6.9,5.1,1h 33m
14. The Merry Gentlemen,4.8,10000,1h 27m
15. Thelma the Unicorn,5.7,2.9,1h 33m
16. Noah's Ark,4.3,626,1h 36m
17. How Could I Live Without You?,6.9,939,1h 45m
18. The Night Before Christmas in Wonderland,6.3,509,1h 20m
19. O Melhor Amigo,7.7,38,1h 36m
20. The Deb,7.6,69,2h 1m
21. Queens of Drama,6.3,179,1h 54m
22. Girl from the North Country,7,12,2h 32m
23. Victory,6.4,237,2h
24. The Opera!,7.2,46,1h 46m
25. Bonnie and Clyde: The Musical,7.6,84,2h 30m
26. Dongeng Sang Kancil,8.3,80,1h 39m
27. Polvo serán,6.7,284,1h 46m
28. Fox & Hare Save the Forest,5.9,193,1h 11m
29. Dans la cuisine des Nguyen,7.3,63,1h 39m
30. Krispy Rishtey,6.6,69,2h 13m
31. Varshangalkku Shesham,6.6,4.1,2h 46m
32. Gaga Chromatica Ball,8.1,2000,1h 57m
33. Isang himala,7.5,23,2h 25m
34. Chainsaws Were Singing,7.2,346,1h 57m
35. Captain Avispa,5.8,172,1h 36m
36. Bring on the Damned!,N/A,N/A,1h 54m
37. Ishq Mubarak,N/A,N/A,N/A
38. First Nights at Freddy's,9.3,15,1h 38m
39. Under Streetlights,9.8,13,1h 30m
40. Trapezium,6.4,139,1h 42m
41. Kajolrekha,6.3,170,2h 36m
42. Between the Lines,8.6,15,N/A
43. Amaltash,8.1,145,1h 53m
44. Eating Me Up,8.6,291,1h 44m
45. Magic,N/A,N/A,N/A
46. Heart Strings,6.4,9,1h 47m
47. Sisters and Neighbors!,6.5,182,1h 45m
"48. Kiss Me, Kate: The Musical",7.7,26,2h 41m
49. Shannon Matthews the Musical the Movie,8,176,1h 31m
50. Carol,8.3,47,1h 55m
51. Petta Rap,4.2,1.7,2h 3m
52. KorimDick,8.6,7,21m
53. Hov1 4-ever,6.4,73,1h 32m
54. Call Me Agnes,7.2,12,1h 34m
55. Shahid,6.5,81,1h 24m
56. Keo=peul-ji-ok,5.3,6,1h 34m
57. Sight & Sound Presents: Daniel LIVE,8.9,23,N/A
58. El Sobreviviente Elizalde,N/A,N/A,N/A
59. Het Feest van Tante Rita 2 - De Chocobom,6.8,19,N/A
60. Pattaapakal,2.6,220,1h 44m
61. The Good Loan Sharks,5,75,2h 2m
62. Mezhdu nami leto,5.8,53,1h 53m
63. Benjamin Bat,8.1,28,1h 15m
64. The Brink Of,8.7,54,N/A
65. Zhi Ci Qing Lv,6.8,47,1h 29m
66. Jane Eyre,N/A,N/A,N/A
67. Maria Callas,N/A,N/A,1h
68. My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,7.9,55,TV-PG
69. Nature Cat's Nature Movie Special Extraordinaire,7.2,17,N/A
70. Freydís and Gudrid,N/A,N/A,N/A
71. Eco Village,6.9,19,N/A
72. Wieland,5.7,17,N/A
73. Aum Penjor,N/A,N/A,2h 18m
74. Solo Town,6.4,24,1h 43m
75. Salvation,N/A,N/A,1h 14m
76. Wicked: Sing-Along,N/A,N/A,2h 40m
77. Life with Quincy 3,N/A,N/A,1h 13m
78. Peas and Carrots,N/A,N/A,1h 36m
79. Magic,N/A,N/A,1h 30m
80. Disney's the Lion King 30th Anniversary Tribute Special,N/A,N/A,55m
81. Log Log Land,N/A,N/A,58m
82. Mrs. Green Apple: The White Lounge,N/A,N/A,1h 29m
83. Peaceful Lights,9.8,17,1h 26m
84. La vie fantastique,N/A,N/A,1h 19m
85. Soldier of Love,N/A,N/A,1h 40m
86. Jesterpus: A Musical Comedy of Horrors,N/A,N/A,1h 20m
87. Dante's Divine Comedy,N/A,N/A,N/A
88. Waiting for the Kick,N/A,N/A,1h 27m
89. Headhunting to Beatboxing,N/A,N/A,1h 2m
90. Korsar,N/A,N/A,1h 34m
91. Koorzang,N/A,N/A,N/A
92. Ya Boy Kongming! Road to Summer Sonia,7.5,38,1h 59m
93. DJ Marwar,6.8,21,N/A
94. Under the Overpass and Far Away,N/A,N/A,1h 37m
"95. Angela Aguilar, Bolero: Documental",2.9,13,N/A
96. Civil Christmas,4,47,N/A
97. El musical de los 80s y los 90s. La película,6.1,8,1h 20m
98. The Invisible - Agents of Ungentlemanly Warfare,N/A,N/A,2h 14m
99. Pérolas de Cuba,N/A,N/A,1h
100. Benjamin,N/A,N/A,1h
101. Something in the Game,N/A,N/A,2h 12m
102. Navidad Catracha 2: El Origen,N/A,N/A,N/A
103. Kunst der farbe,N/A,N/A,1h 30m
104. El Salto,N/A,N/A,N/A
105. Lokananta,7,9,N/A
106. Theodor,N/A,N/A,2h
107. Dynamite,N/A,N/A,1h
108. Aida,N/A,N/A,2h 45m
109. The Clashing Elements: Saviors of the Multiverse,6.6,7,1h 31m
110. Susquehanna Stage's Grease: Youth and Teen Production,N/A,N/A,N/A
111. Message in a Bottle,N/A,N/A,N/A
112. Broken Glass,N/A,N/A,Not Rated
113. Zolushka,N/A,N/A,1h 26m
114. Harmonie,N/A,N/A,1h 14m
115. Rangde,8.6,6,2h 23m
116. Iyus Jenius,9,7,1h 22m
117. Dappankuthu,N/A,N/A,N/A
118. De la Doina la Rembetiko,N/A,N/A,N/A
"119. Bryson, the Demon Slayer",4.5,12,59m
120. Stinney: An American Execution,N/A,N/A,N/A
121. Ishttaragam,9.2,111,N/A
122. Línguas de Fogo,N/A,N/A,1h 9m
123. The Royal Ballet: Swan Lake,N/A,N/A,3h 15m
124. Mom's Coming,N/A,N/A,2h 2m
125. Explaining Elizabeth,N/A,N/A,1h 40m
126. Dream Academy,N/A,N/A,N/A
127. Sanguche Caliente,N/A,N/A,N/A
128. Jakkotai,N/A,N/A,N/A
129. ¡Corazón!,N/A,N/A,1h 25m
130. HP for Ever,N/A,N/A,1h 29m
131. Noch pered Rozhdestvom,N/A,N/A,1h 20m
132. Kseukul,N/A,N/A,2h
133. Hero: Live in Cinema,N/A,N/A,2h 39m
134. A Very Merry TV Adventure,N/A,N/A,N/A
135. Richard II,N/A,N/A,2h 18m
136. Once upon a bridge in Vietnam,N/A,N/A,52m
"137. Señor Jazz, la película de Carlos Inzillo",N/A,N/A,1h 22m
138. Sevilskiy tsiryulnik,N/A,N/A,2h 35m
139. Before Time Stopped with Flipstyle,N/A,N/A,1h 6m
140. Teen Musical Director's Cut,N/A,N/A,N/A
141. Zhenitba Figaro,N/A,N/A,2h 52m
142. La banda del pati,N/A,N/A,N/A
"143. Katarina, ili Doch razboynika",N/A,N/A,2h 37m
144. Tu Mo Kamzori,N/A,N/A,N/A
145. Idade Da Pedra,N/A,N/A,1h 10m
146. Anbenum Peruveli,N/A,N/A,1h 30m
147. Hoje é Dia Das Crianças,N/A,N/A,N/A
148. Sem vergonha,N/A,N/A,N/A
149. Point of the Pen,N/A,N/A,N/A
150. Canciones con Historia. Fonseca,5.5,6,N/A
151. Safe and Sound,N/A,N/A,1h 45m
152. Cirkus Summarum 2024,N/A,N/A,N/A
153. Onde está o amor? As fitas perdidas,N/A,N/A,N/A
154. Anavitória COR,N/A,N/A,1h 9m
155. Artistic Pressure,N/A,N/A,N/A
156. Despierta tu alma,N/A,N/A,Not Rated
157. La sorto gvidos vin,N/A,N/A,N/A
158. Stiffelio,N/A,N/A,1h 53m
159. Incident at Panther Hills: Bigfoot's Return,N/A,N/A,58m
160. OL Brooklyn Vol 3,N/A,N/A,N/A
161. Ga Mere Maan Ga,N/A,N/A,N/A
162. Even Sally,N/A,N/A,51m
163. Xing Guang Can Can Yao Bao Liang 2024,N/A,N/A,N/A
164. Unsung Birds,N/A,N/A,N/A
165. You Lucky Son of a Bitch 2,N/A,N/A,N/A
166. The Just in Case Child,N/A,N/A,N/A
167. Sweet Palm Wine,N/A,N/A,N/A
168. Heartbreak in August,N/A,N/A,45m
169. From Corinne's Heart,N/A,N/A,N/A
170. Tradition,N/A,N/A,2h 28m
171. K Cheloveku Ryadom,N/A,N/A,10m
172. Love Finally the Musical,N/A,N/A,N/A
173. Swan Lake from English National Ballet,N/A,N/A,N/A
