Title,Rating,Votes,Duration
1. Trap,5.8,132000,1h 45m
2. Nosferatu,7.3,181000,2h 12m
3. Blink Twice,6.5,102000,1h 42m
4. Smile 2,6.7,98000,2h 7m
5. Paddington in Peru,6.7,18000,1h 46m
6. Juror #2,7,92000,1h 54m
7. F*** Marry Kill,5.3,2000,1h 37m
8. Hellboy: The Crooked Man,4.5,12000,1h 39m
9. The Watchers,5.7,56000,1h 42m
10. Force of Nature: The Dry 2,5.9,6.8,2h
11. Red One,6.3,138000,2h 3m
12. Caddo Lake,6.8,41000,1h 43m
13. It's What's Inside,6.6,41000,1h 43m
14. Love Lies Bleeding,6.6,56000,1h 44m
15. The Rule of Jenny Pen,6.6,687,1h 44m
16. Afraid,5.2,13000,1h 24m
17. Cuckoo,5.7,25000,1h 42m
18. Sleeping Dogs,6.2,21000,1h 50m
19. The Instigators,6.2,37000,1h 41m
20. Killer Heat,5.6,13000,1h 35m
21. Skincare,5.7,4.3,1h 36m
22. Absolution,5.2,7.5,1h 52m
23. Exhuma,6.9,23000,2h 14m
24. Die Alone,5.7,2.7,1h 31m
25. Time Cut,5,18000,1h 31m
26. Long Gone Heroes,5.2,990,1h 41m
27. The Deliverance,5.1,22000,1h 52m
28. The Girl in the Pool,4.3,1.4,1h 29m
29. The Damned,5.7,3.7,1h 29m
30. Sookshma Darshini,7.8,9.6,2h 22m
31. Watchmen: Chapter I,7,6.3,1h 23m
32. Kishkindha Kaandam,8,11000,2h 13m
33. Blackwater Lane,4.6,1.8,1h 48m
34. A Sacrifice,5.1,5.1,1h 34m
35. Monster Summer,5.7,3.5,1h 37m
36. Boneyard,4.1,4.9,1h 36m
37. Depravity,4.3,932,1h 57m
38. The Dead Thing,4.7,837,1h 34m
39. The Redemption of Sin,6,150,1h 56m
40. Damaged,4.7,7.2,1h 37m
41. Orion and the Dark,6.3,17000,1h 33m
42. Night Swim,4.7,27000,1h 38m
43. Imaginary,4.7,17000,1h 44m
44. Colors of Evil: Red,6.4,8.3,1h 51m
45. Watchmen: Chapter II,7,2.8,1h 30m
46. Handling the Undead,5.4,4.2,1h 37m
47. The Best Christmas Pageant Ever,6.8,6000,1h 39m
48. Outbreak,4.4,815,1h 28m
49. Reunion,5.6,3.4,1h 30m
