Title,Rating,Votes,Duration
1. Anora,7.6,160000,2h 19m
2. Wicked,7.5,145000,2h 40m
3. Babygirl,6,48000,1h 54m
4. It Ends with Us,6.4,82000,2h 10m
5. We Live in Time,7,49000,1h 48m
6. Challengers,7,152000,2h 11m
7. The Count of Monte-Cristo,7.6,33000,2h 58m
8. F*** Marry Kill,5.2,2000,1h 37m
9. Queer,6.5,18000,2h 17m
10. The Fall Guy,6.8,217000,2h 6m
11. The Crow,4.7,33000,1h 51m
12. The Idea of You,6.3,72000,1h 55m
13. Fly Me to the Moon,6.6,48000,2h 12m
14. My Old Ass,6.9,38000,1h 29m
15. Mon Potongo,6.8,171,2h 29m
16. Love Lies Bleeding,6.6,56000,1h 44m
17. All We Imagine as Light,7.1,9000,1h 58m
18. Emmanuelle,4.2,1.5,1h 47m
19. A Family Affair,5.3,36000,1h 51m
20. Culpa Tuya,5.2,13000,1h 58m
21. Killer Heat,5.6,13000,1h 35m
22. Young Woman and the Sea,7.5,17000,2h 9m
23. Die Alone,5.7,2.7,1h 31m
24. Guilty Pleasure,5.5,87,1h 59m
25. Someone Like You,5.8,2.1,1h 58m
26. Sidelined: The QB and Me,5.9,3.5,1h 39m
27. Lonely Planet,5.7,11000,1h 34m
28. Beating Hearts,7,4.1,2h 46m
29. Your Monster,6.4,5.5,1h 43m
30. Upgraded,6.1,29000,1h 44m
31. Love Me,5.2,2.2,1h 31m
32. Girls Will Be Girls,7.1,2.3,1h 58m
33. Grafted,5.6,2.1,1h 36m
34. This Is Me... Now,4.1,7.1,1h 5m
35. Irish Wish,5.2,21000,1h 33m
36. Ask Me What You Want,3.6,318,1h 54m
37. La Cocina,7.2,2.4,2h 19m
38. Loveable,8,1.4,1h 41m
39. Find Me Falling,6.3,13000,1h 33m
40. Lisa Frankenstein,6.1,28000,1h 41m
41. Girl Haunts Boy,6.3,2.8,1h 40m
42. Our Little Secret,5.7,23000,1h 41m
43. Mother of the Bride,4.8,17000,1h 28m
44. My Favourite Cake,7.4,7000,1h 37m
45. The Tearsmith,5.2,12000,1h 43m
46. Winter Spring Summer or Fall,6.7,423,1h 37m
47. A Nice Indian Boy,7.2,152,1h 36m
48. Jane Austen Wrecked My Life,6.5,153,1h 34m
49. Boot Camp,5.8,1000,1h 34m
50. Lilies Not for Me,7.8,81,1h 39m
51. Touch,7.4,5.3,2h 1m
52. We're All Gonna Die,8.3,82,1h 50m
53. Bonjour Tristesse,6,85,1h 50m
54. The Dead Thing,4.7,837,1h 34m
55. Lick,6.3,735,1h 15m
56. The Best Christmas Pageant Ever,6.8,6000,1h 39m
57. Role Play,5.5,19000,1h 40m
58. The Merry Gentlemen,4.8,10000,1h 27m
59. High Tide,6.6,507,1h 41m
60. This Time Next Year,5.6,2.1,1h 56m
61. Now or Never!,2.1,17000,N/A
62. Chosen Family,4.6,268,1h 28m
63. Turtles All the Way Down,6.6,6.8,1h 51m
64. Turn Me On,5.6,448,1h 39m
65. Swap,3,330,1h 26m
66. Players,5.7,12000,1h 45m
67. Grand Tour,6.5,1.4,2h 8m
68. Pedro Páramo,6.3,2.8,2h 10m
69. Romance on the Ranch,6.8,300,1h 28m
70. Beautiful Wedding,4.1,4.1,1h 40m
71. The Greatest Hits,6.2,7.3,1h 34m
72. Darkest Miriam,6.9,30,1h 27m
73. Gone Running,7.1,3.9,1h 45m
74. Hot Frosty,5.3,15000,1h 32m
75. Five Blind Dates,5.1,1.9,1h 23m
76. Love in the Big City,7.5,1.3,1h 58m
77. How to Date Billy Walsh,5.2,3.9,1h 38m
78. Layla,6.1,353,1h 40m
79. Through My Window: Looking at You,5.4,5.1,1h 45m
80. Wallbanger,5.6,645,1h 58m
81. City Hunter,6.3,5.5,1h 42m
82. Marmalade,6.2,3.5,1h 39m
83. Vulgar,6.8,106,1h 43m
84. The Astronaut Lovers,7.1,557,1h 56m
85. Premalu,7.8,19000,2h 36m
86. Cinderella's Curse,3.3,1.3,1h 22m
87. A True Gentleman,4.5,2000,1h 50m
88. Take My Hand,6.3,287,1h 42m
89. Timestalker,5.5,2.9,1h 29m
90. The Glassworker,7.5,1.6,1h 38m
91. Plan B,5.9,1.1,1h 30m
92. You Are the Apple of My Eye,7.6,3.3,1h 41m
93. The Family Star,5.4,5.4,2h 39m
94. Three Friends,6.5,621,1h 57m
95. Amar Singh Chamkila,7.8,16000,2h 25m
96. 5lbs of Pressure,5.3,1.6,1h 51m
97. Two to One,6,703,1h 56m
98. Freedom,5.9,1.3,1h 50m
99. Cinderella's Revenge,3.7,1.1,1h 25m
100. Young Werther,5.7,208,1h 41m
