Title,Rating,Votes,Duration
1. The Substance,7.3,283000,2h 21m
2. The Day the Earth Blew Up: A Looney Tunes Movie,7,2.7,1h 31m
3. Sonic the Hedgehog 3,6.9,53000,1h 50m
4. Venom: The Last Dance,6,109000,1h 50m
5. The Wild Robot,8.2,154000,1h 42m
6. Dune: Part Two,8.5,615000,2h 46m
7. Deadpool & Wolverine,7.6,482000,2h 8m
8. Furiosa: A Mad Max Saga,7.5,281000,2h 28m
9. Borderlands,4.7,46000,1h 41m
10. Alien: Romulus,7.1,239000,1h 59m
11. Subservience,5.4,26000,1h 46m
12. Elevation,5.6,20000,1h 31m
13. Despicable Me 4,6.2,63000,1h 34m
14. Megalopolis,4.7,35000,2h 18m
15. Rich Flu,5.9,4.9,1h 56m
16. The Assessment,7.3,672,1h 54m
17. The Life of Chuck,7.7,464,1h 50m
18. A Quiet Place: Day One,6.3,146000,1h 39m
19. Transformers One,7.6,48000,1h 44m
20. Y2K,4.8,10000,1h 31m
21. Kingdom of the Planet of the Apes,6.9,150000,2h 25m
22. Madame Web,4,99000,1h 56m
23. Caddo Lake,6.8,41000,1h 43m
24. It's What's Inside,6.6,41000,1h 43m
25. Godzilla x Kong: The New Empire,6.1,120000,1h 55m
26. Ghostbusters: Frozen Empire,6.1,92000,1h 55m
27. The Shrouds,5.8,753,1h 59m
28. Afraid,5.2,13000,1h 24m
29. Wallace & Gromit: Vengeance Most Fowl,7.5,33000,1h 22m
30. Uglies,4.7,32000,1h 40m
31. Spaceman,5.7,42000,1h 47m
32. Survive,4.6,2.1,1h 30m
33. Distant,5.7,3000,1h 27m
34. Kalki 2898 AD,7,66000,3h
35. Die Alone,5.7,2.7,1h 31m
36. Time Cut,5,18000,1h 31m
37. Arcadian,5.5,22000,1h 32m
38. Apocalypse Z: The Beginning of the End,6.1,19000,1h 57m
39. Slingshot,5.7,8.8,1h 48m
40. Atlas,5.6,55000,1h 58m
41. Love Me,5.2,2.2,1h 31m
42. Rebel Moon - Part Two: The Scargiver,5.3,59000,2h 2m
43. Watchmen: Chapter I,7,6.3,1h 23m
44. The End,5.5,1.6,2h 28m
45. Baby Invasion,4.6,235,1h 20m
46. The Platform 2,4.9,39000,1h 39m
47. The Silent Planet,4.8,193,1h 35m
48. Things Will Be Different,5.2,2.3,1h 42m
49. Omni Loop,5.6,2.7,1h 52m
50. V/H/S/Beyond,5.8,9.2,1h 54m
51. Sting,5.7,16000,1h 31m
52. We're All Gonna Die,8.3,82,1h 50m
53. Megamind vs. The Doom Syndicate,2.5,5.5,1h 23m
54. Watchmen: Chapter II,7,2.8,1h 30m
55. Justice League: Crisis on Infinite Earths - Part One,6.2,8.3,1h 33m
56. Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4,1h 34m
57. Breathe,4.2,7000,1h 33m
58. Year 10,5.4,1.8,1h 36m
59. Last Night on Earth,4.8,339,1h 26m
60. The Empire,5.2,1.2,1h 50m
61. Turn Me On,5.6,448,1h 39m
62. Code 8: Part II,5.7,16000,1h 40m
63. The Thundermans Return,5,1.8,1h 10m
64. Lumina,2.2,649,1h 53m
65. The Greatest Hits,6.2,7.3,1h 34m
66. Arena Wars,4.9,2000,1h 36m
67. Street Trash,4.5,765,1h 25m
68. The Thinking Game,7.6,125,1h 24m
69. Badland Hunters,5.9,12000,1h 47m
70. My Hero Academia: You're Next,7,1.9,1h 50m
71. Trapped Inn,2.8,893,1h 55m
72. Moon Maidens 2,3.5,31,1h 9m
73. Can I Get a Witness,6.8,70,1h 50m
74. The Fix,4.6,1.1,1h 38m
75. Wonderland,6.2,2.2,1h 53m
76. City Hunter,6.3,5.5,1h 42m
77. South of Hope Street,6.5,1.4,1h 41m
78. Guest from the Future,6,1.2,2h 21m
79. Levels,5,1.5,1h 33m
80. Ultraman: Rising,6.9,6.2,1h 57m
81. Timestalker,5.5,2.9,1h 29m
82. Justice League: Crisis on Infinite Earths - Part Two,5.5,5.2,1h 34m
83. Doraemon the Movie: Nobita's Earth Symphony,6.6,1.4,1h 55m
84. Agent Recon,2.4,664,1h 25m
85. Parallel,5.3,1.9,1h 28m
86. Latency,4.2,1.8,1h 34m
87. Sentinel,2.6,752,1h 30m
88. Unspeakable: Beyond the Wall of Sleep,5.9,39,1h 30m
89. Ick,5.6,197,1h 27m
90. Alienoid: The Return to the Future,6.5,2.5,2h 2m
91. Terminator: Skynet Rising,6.9,260,1h 28m
92. Teri Baaton Mein Aisa Uljha Jiya,6.2,54000,2h 21m
93. Alien: Rubicon,2.4,331,1h 26m
94. Maid Droid Origins,3,313,1h 36m
95. Drive Back,4.7,291,1h 34m
96. Mars,8.9,19,1h 24m
97. Another End,6.5,708,2h 9m
98. X Files,1.9,61,1h 14m
99. Previously Saved Version,5.5,407,1h 57m
100. Uranus 2324,6.5,4.7,2h 10m
101. Futra Days,4.1,138,1h 39m
102. U Are the Universe,7.8,237,1h 30m
103. Fight Another Day,5.1,330,1h 37m
104. Black Eyed Susan,5,321,1h 25m
105. SCP: The Infinite Mission,5.6,22,16+
106. Desert Road,6.7,154,1h 30m
107. Test Screening,6.9,64,1h 32m
108. Good Neighbours,3.1,164,1h 24m
109. Daniela Forever,6.3,199,1h 53m
110. The Bunker,7.1,44,1h 32m
111. 40 Acres,6.5,104,1h 53m
112. Staycation,7.1,102,1h 34m
113. Escape from the 21st Century,6.6,825,1h 38m
114. Planetquake,3,283,1h 25m
115. War of the Worlds: Extinction,3,181,1h 24m
