Title,Rating,Votes,Duration
1. Queen of the Ring,7,856,2h 20m
2. Challengers,7,152000,2h 11m
3. Young Woman and the Sea,7.5,17000,2h 9m
4. The Fire Inside,6.7,2.2,1h 49m
5. Unstoppable,6.8,3.9,1h 56m
6. Arthur the King,7,34000,1h 47m
7. Under Paris,5.2,36000,1h 44m
8. You Gotta Believe,5.8,1.3,1h 44m
9. Rez Ball,6.3,2.4,1h 51m
10. El Jockey,6.5,1.6,1h 36m
11. The Beautiful Game,6.3,8000,2h 5m
12. The Underdoggs,5.6,4.5,1h 36m
13. Sweet Dreams,5.4,1.4,1h 35m
14. Race for Glory: Audi vs. Lancia,5.8,4.6,1h 49m
15. Yolo,6.9,3.6,2h 9m
16. Color of Victory,6.1,40000,2h 37m
17. Sixty Minutes,5.7,5.1,1h 28m
18. My Sunshine,7.1,1.3,1h 40m
19. Haikyu!! The Dumpster Battle,7.7,6000,1h 25m
20. Uranus 2324,6.5,4.7,2h 10m
21. Maidaan,7.9,23000,3h 1m
22. Blue Lock: Episode Nagi,6.6,2.4,1h 31m
23. Chandu Champion,7.8,34000,2h 22m
24. Lubber Pandhu,8.2,5.9,2h 26m
25. Boxer,6.4,1.3,2h 30m
26. Baki Hanma VS Kengan Ashura,5.7,1.9,1h 2m
27. Little Wing,6.1,930,1h 40m
28. Bionic,4.3,1.7,1h 50m
29. Balestra,5.1,517,2h 25m
30. Memes & Nightmares,5.7,78,1h 21m
31. Federer: Twelve Final Days,7.3,4.1,1h 28m
32. Crakk: Jeetega... Toh Jiyegaa,4.7,6.5,2h 34m
33. My Annoying Brother,7.5,186,1h 54m
34. Vijay 69,6.1,1.2,1h 52m
35. Samia,6.9,123,1h 42m
36. Gundi: Legend of Love,9,5.4,2h 46m
37. Untold: The Murder of Air McNair,5.6,2000,57m
38. Cup,8.5,65,2h 26m
39. The Tale of Texas Pool,7.8,74,N/A
40. The Champion,5.5,872,1h 46m
41. Champions of the Golden Valley,9.2,63,1h 21m
42. Nayab,7.4,264,2h 33m
43. Lal Salaam,4.5,1.3,2h 30m
44. Free Falling,5.2,289,1h 29m
45. The Miranda Brothers,4.4,188,1h 39m
46. Giannis: The Marvelous Journey,8.3,1.7,1h 49m
47. See Her Be Her,6.7,18,1h 50m
48. Pegasus 2,7,1.2,2h 1m
49. First Class: Full Speed!,7.4,332,N/A
50. Pay Dirt: The Story of Supercross,N/A,N/A,1h 31m
51. Mr. & Mrs. Mahi,5.9,16000,2h 19m
52. The Final: Attack on Wembley,6.3,2.4,1h 22m
53. El Hareefa,6.9,946,1h 57m
54. EFC,7.8,1.2,1h 27m
55. The Swedish Torpedo,6.4,133,2h
56. Uma Musume: Pretty Derby - Beginning of a New Era,7.4,110,1h 48m
57. Diving Into the Darkness,9.1,82,1h 36m
58. Havnaa,7.3,217,1h 50m
59. Challenger,5.7,157,1h 35m
60. Topuria Matador,7.1,157,1h 35m
61. Nasty,7.8,1.1,1h 43m
62. Pierce,6.5,124,1h 49m
63. Kulej. Dwie strony medalu,6.4,297,2h 28m
64. Las super estrellas de la lucha libre,8.6,47,1h 38m
65. Ice Cross: Life on the Edge,10,11,1h 30m
66. All American,9.6,18,1h 27m
67. Unbreakable: England 2003,8.2,33,1h 6m
68. 4 Zéros,3.5,133,1h 45m
69. Hayatla Baris,6.3,361,2h 5m
70. Fight Like a Girl,7.8,15,N/A
71. Tracing the Divide,8.7,162,1h 24m
72. Minor Leaguer,5.3,84,1h 17m
73. Below the Rim,5,16,1h 29m
74. Off the Line,8.4,13,N/A
75. Loser is Winner,9.3,531,N/A
76. Wingless,7.7,87,1h 50m
77. GG,5.9,77,1h 40m
78. Grace by Night,6.9,23,N/A
79. Ski,7.6,62,1h 35m
80. Sunshine,7.5,43,1h 31m
81. El Harifa 2: El Remontada,7.2,228,2h 10m
82. Megdan: Between Water and Fire,5.4,717,1h 46m
83. Concussed: The American Dream,7.8,39,N/A
84. Undisputed,6.8,100,1h 4m
85. Friendly Fire,6.6,30,1h 45m
86. Gold,7.8,64,2h 6m
87. Salty Amazons,N/A,N/A,32m
88. In Inima Nationalei,7.8,198,1h 43m
89. Blue Star,6.9,1.5,2h 46m
90. Fuchsia Libre,4.9,57,1h 52m
91. It's All Over: The Kiss That Changed Spanish Football,6.9,607,1h 35m
92. Runaway Wrestler,7.8,14,1h 45m
93. Keluar Main 1994,7.8,48,1h 52m
94. Argentina '78,7.1,201,N/A
95. Passion of Iron,9.4,16,N/A
96. Lyod 3,6,297,2h 14m
97. Final Heat,3.8,213,1h 23m
98. Faster: Only one lap,7.1,23,1h 30m
99. Game Changers,4.7,219,1h 18m
100. Puffing Iron,8,17,1h 38m
101. Knockout Blonde: The Kellie Maloney Story,5.9,21,1h 30m
102. Padu,5.1,80,1h 37m
103. V de Victor,5.2,73,1h 40m
