Title,Rating,Votes,Duration
1. Kraven the Hunter,5.4,47000,2h 7m
2. Heretic,7,123000,1h 51m
3. Trap,5.8,132000,1h 45m
4. Conclave,7.4,135000,2h
5. Twisters,6.5,161000,2h 2m
6. Babygirl,6,48000,1h 54m
7. Longlegs,6.6,180000,1h 41m
8. Pushpa: The Rule - Part 2,6.1,54000,3h 21m
9. Venom: The Last Dance,6,109000,1h 50m
10. Emilia Pérez,5.4,85000,2h 12m
11. Presence,6.1,18000,1h 24m
12. Eden,6.1,816,2h
13. The Order,6.8,38000,1h 56m
14. Blink Twice,6.5,102000,1h 42m
15. Smile 2,6.7,98000,2h 7m
16. Furiosa: A Mad Max Saga,7.5,281000,2h 28m
17. Juror #2,7,92000,1h 54m
18. September 5,7.1,21000,1h 35m
19. Borderlands,4.7,46000,1h 41m
20. Alien: Romulus,7.1,239000,1h 59m
21. Subservience,5.4,26000,1h 46m
22. Speak No Evil,6.8,93000,1h 50m
23. Civil War,7,233000,1h 49m
24. Elevation,5.6,20000,1h 31m
25. The Beekeeper,6.3,153000,1h 45m
26. Carry-On,6.5,160000,1h 59m
27. The Count of Monte-Cristo,7.6,33000,2h 58m
28. F*** Marry Kill,5.2,2000,1h 37m
29. Rich Flu,5.9,4.9,1h 56m
30. Abigail,6.6,95000,1h 49m
31. Hellboy: The Crooked Man,4.5,12000,1h 39m
32. Wolfs,6.5,79000,1h 48m
33. Joker: Folie à Deux,5.2,157000,2h 18m
34. Rebel Ridge,6.8,86000,2h 11m
35. The Luckiest Man in America,7,100,1h 30m
36. The Watchers,5.7,56000,1h 42m
37. Marco,6.9,20000,2h 25m
38. A Different Man,6.9,28000,1h 52m
39. Lucky Baskhar,8,30000,2h 28m
40. Homestead,5.4,3.4,1h 52m
41. The Crow,4.7,33000,1h 51m
42. A Quiet Place: Day One,6.3,146000,1h 39m
43. Force of Nature: The Dry 2,5.9,6.8,2h
44. Road House,6.2,166000,2h 1m
45. Oddity,6.7,40000,1h 38m
46. Argylle,5.6,92000,2h 19m
47. Kingdom of the Planet of the Apes,6.9,150000,2h 25m
48. The Killer's Game,5.8,16000,1h 44m
49. The Seed of the Sacred Fig,7.6,12000,2h 47m
50. Madame Web,4,99000,1h 56m
51. Bad Boys: Ride or Die,6.5,98000,1h 55m
52. Caddo Lake,6.8,41000,1h 43m
53. It's What's Inside,6.6,41000,1h 43m
54. Godzilla x Kong: The New Empire,6.1,120000,1h 55m
55. McVeigh,4.6,304,1h 30m
56. Love Lies Bleeding,6.6,56000,1h 44m
57. The Rule of Jenny Pen,6.6,689,1h 44m
58. Land of Bad,6.6,50000,1h 53m
59. Dirty Angels,4.3,3.2,1h 44m
60. The Shrouds,5.8,753,1h 59m
61. Aftermath,5.1,3.6,1h 37m
62. The Surfer,6.5,618,1h 43m
63. Monkey Man,6.8,90000,2h 1m
64. Don't Move,5.8,38000,1h 32m
65. Afraid,5.2,13000,1h 24m
66. Cuckoo,5.7,25000,1h 42m
67. The Union,5.4,52000,1h 47m
68. In a Violent Nature,5.6,25000,1h 34m
69. Immaculate,5.8,52000,1h 29m
70. We Bury the Dead,7.1,90,1h 34m
71. Never Let Go,5.4,14000,1h 41m
72. The Last Breath,4.7,2000,1h 36m
73. Miller's Girl,5.2,23000,1h 33m
74. Survive,4.6,2.1,1h 30m
75. Drive-Away Dolls,5.4,23000,1h 24m
76. The Killer,5.7,12000,2h 6m
77. Sleeping Dogs,6.2,21000,1h 50m
