Title,Rating,Votes,Duration
1. The Ministry of Ungentlemanly Warfare,6.8,132000,2h 2m
2. My Dead Friend Zoe,6.8,1.6,1h 43m
3. William Tell,5.8,1.9,2h 13m
4. The Six Triple Eight,6.7,25000,2h 7m
5. Dirty Angels,4.3,3.2,1h 44m
6. Blitz,6.2,16000,2h
7. Nr. 24,7.5,14000,1h 51m
8. Escape from Germany,5.3,912,1h 37m
9. Amaran,8.2,18000,2h 47m
10. Goebbels and the Führer,6.7,1.9,2h 15m
11. Uprising,6.6,5.3,2h 6m
12. Chhava,8.6,2.2,51m
13. Laws of Man,4.1,333,1h 38m
14. Before Dawn,5.4,934,1h 41m
15. Without Blood,7.5,89,1h 31m
16. Murder Company,3.7,1.5,1h 26m
17. Decoded,5.8,420,2h 36m
18. The Last Front,5.5,603,1h 38m
19. WWII: Operation Phoenix,6.6,63,1h 46m
20. Atatürk II: 1881-1919,8.9,1.9,2h 21m
21. Quisling: The Final Days,7.1,1.1,2h 26m
22. Chandu Champion,7.8,34000,2h 22m
"23. Love, Courage and the Battle of Bushy Run",5,175,1h 53m
24. The Shamrock Spitfire,5.1,472,1h 48m
25. The Friendly,8.1,15,1h 41m
26. Bau: Artist at War,7.1,52,2h 10m
27. The Witch: Revenge,5.3,779,1h 40m
28. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,651,2h 54m
29. Ka Whawhai Tonu,7.4,170,1h 55m
30. Invasion,4.8,666,1h 31m
31. Battlefield,6.2,644,1h 44m
32. Orang Ikan,6.5,31,1h 23m
"33. Canadian, Sniper",3.5,347,1h 23m
34. The Yin Yang Master Zero,5.7,257,1h 52m
35. White Courage,6.3,612,1h 55m
36. Aserb: The Squadron,5.2,300,2h
37. Vremya vernutsya,7.2,14,1h 40m
38. Never Alone,7.2,404,1h 25m
39. Hitler,5.2,302,2h 8m
40. The Volunteers: The Battle of Life and Death,6.2,215,2h 24m
41. Kang Mak,6.4,761,2h 2m
42. The Epidemic,5.8,69,1h 35m
43. Fortunes of War,3.5,174,1h 25m
44. Klitschko: More Than a Fight,6.3,495,1h 36m
45. Conquer: Lahad Datu,6.7,497,2h
46. Red Poppies,4.7,294,2h 2m
47. War Blade,3.9,253,1h 34m
48. Ludzie,6.9,45,1h 57m
49. Bardejov,4.8,176,1h 25m
50. Call of Duty,7.9,9,N/A
51. Bozji gnjev,7.2,58,1h 51m
52. The Dugout,5.5,747,1h 54m
53. Occupied,N/A,N/A,1h 17m
54. 24 Hours to D-Day,4.7,35,1h 23m
55. Russians at War,1.8,1000,2h 9m
56. The Liberation Men,6.5,76,1h 30m
57. Drava se ne predaje,9.6,7,N/A
58. The Mousetrap,6.9,16,1h 27m
59. Hengyang 1944,8.3,12,N/A
"60. Dao, Pho Va Piano",5.9,190,1h 40m
61. Air War,6.4,113,1h 46m
62. Haywire: Gunslingers,2.2,25,1h 25m
63. We Were Recruits,7,231,1h 32m
64. Duffle Bag Boy,6.9,56,N/A
65. Burgemeestersmoord,6.5,82,N/A
66. Korni,8.2,14,2h 17m
67. Blood Vendetta,7.7,235,1h 30m
68. Burning Stars,6.6,45,1h 24m
69. Scars,8.1,20,N/A
70. The Dakota War: Attack on Fort Ridgely,N/A,N/A,1h 20m
"71. America, Invaded",7.2,19,1h 22m
72. October 7 - Al Jazeera Investigations,6.5,40,1h
"73. Arlempdes, la légende du premier château de la Loire",6.5,9,N/A
74. Operation Thule,N/A,N/A,2h 40m
75. Majnoon,6.9,34,N/A
76. The Battle for Kyiv,7.5,36,N/A
77. The Deserter,N/A,N/A,1h 33m
78. No Tomorrow,N/A,N/A,N/A
79. Pozyvnoy «Passazhir»,4.8,220,1h 41m
80. Dun huang ying xiong,N/A,N/A,N/A
81. Pidyomna syla,8.9,63,1h 27m
82. Operation Star,7.6,23,1h 42m
83. Ukraine Mon Amour,N/A,N/A,N/A
84. Jewish Revenge 6: Gaza in Focus,5.7,24,N/A
85. The Daughter,N/A,N/A,1h 37m
86. Kargil 1999- The Untold Story of the Indian Air Force,9.2,14,N/A
87. The West Sky,5.2,123,N/A
88. The Youngest Partisan,N/A,N/A,2h 15m
89. Kadetar,N/A,N/A,1h 59m
90. Sem chyornykh bumag,6.6,55,1h 36m
91. Here We Are Now,N/A,N/A,1h 2m
92. Mythical Creatures,N/A,N/A,1h 30m
93. Renverse,N/A,N/A,2h 7m
94. Kara Kyz,4.8,19,1h 51m
95. Krigsvarsleren,7.4,7,55m
96. Fedeltà Soldati. Prigionieri.,N/A,N/A,1h 20m
97. Roots,N/A,N/A,1h 32m
98. Sha Hai zhi Men,N/A,N/A,N/A
99. Rinnans rival,N/A,N/A,1h 34m
100. 72 Sigan,N/A,N/A,4h
101. El laberinto. La guerra secreta de España,N/A,N/A,2h 1m
102. As Noites Ainda Cheiram a Pólvora,N/A,N/A,1h 32m
103. Krasnye lenty,5.3,18,1h 2m
104. Eddy's oorlog,7.7,46,1h 41m
105. VC 571,N/A,N/A,N/A
106. Saigon,N/A,N/A,N/A
"107. Por ti, Portugal, eu juro!",7.6,5,1h 38m
108. Los indomables,6.5,9,1h 46m
109. Da Tu Wei,N/A,N/A,1h 50m
110. Churchill's Forgotten War,7.8,10,47m
"111. Gaza, since October 7",N/A,N/A,1h 34m
112. Wo de Ye Ye,N/A,N/A,N/A
113. Village of Death: Oradour-sur-Glane 1944,7.8,14,58m
114. On Moral Grounds,8.4,7,1h 14m
115. Bloody Sniper,N/A,N/A,1h 33m
116. Attack Jiajin Mountain,N/A,N/A,1h 36m
117. Dosije Kosovo - Pogrom,7.6,5,1h 49m
118. The Lights,N/A,N/A,N/A
119. Un milione di granelli di sabbia,N/A,N/A,1h 4m
120. For the Love of the Motherland,N/A,N/A,N/A
121. Twisted America,N/A,N/A,49m
122. Casques bleuEs,N/A,N/A,1h 22m
123. 11.11.18 Soldat Inconnu,N/A,N/A,1h 18m
124. Prazdnik,N/A,N/A,1h 13m
125. Do You Want to See Part Two?,N/A,N/A,1h 14m
126. Athletes of War,N/A,N/A,1h 35m
127. Colonel Xanthi,N/A,N/A,N/A
