Title,Rating,Votes,Duration
1. Horizon: An American Saga - Chapter 1,6.7,39000,3h 1m
2. Horizon: An American Saga - Chapter 2,7.1,1.2,3h 10m
3. Rust,5.4,175,2h 13m
4. The Thicket,5.8,2.9,1h 48m
5. The Unholy Trinity,7.9,49,1h 33m
6. Pedro Páramo,6.3,2.8,2h 10m
7. Buffalo Kids,6.6,646,1h 33m
8. Seven Cemeteries,4.5,519,1h 24m
9. Calamity Jane,4.4,787,1h 35m
10. Joe Crist,5.2,79,53m
11. Golden Kamuy,6.3,2.5,2h 7m
12. Eye for an Eye 2,6.5,488,1h 30m
13. The Ballad of Davy Crockett,4.6,245,1h 36m
14. The Night They Came Home,3.5,431,1h 45m
15. Outlaw Posse,4.3,518,1h 48m
16. Unnatural,5.1,90,1h 44m
17. Black Creek,N/A,N/A,1h 56m
18. Same Old West,8.5,29,1h 38m
19. Taken from Rio Bravo,3,308,1h 20m
20. Paradise,6.9,77,1h 23m
21. Was Once a Hero,9.3,35,N/A
22. Fyre Rises,6.5,321,1h 50m
23. They Call Her Death,6.5,25,1h 32m
24. The Guardsmen,3.5,135,N/A
25. Over the Red River,3.5,75,1h 23m
26. The Ecstasy of Gold: The Treasure of Jesse James,6.2,13,1h 30m
27. Andromeda: 1883,3.5,15,N/A
28. Astral Plane Drifter,8.5,15,N/A
29. Ghosts of Red Ridge,3.3,145,1h 21m
30. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5,7,1h 14m
31. The Dakota War: Revenge,N/A,N/A,1h 32m
32. Lady Outlaw,6.8,16,1h 44m
33. Oro Amargo,7.8,25,1h 23m
34. Bolero,3.2,27,N/A
35. Malaikottai Vaaliban,6,4.1,2h 36m
36. Coyote Woman,2.2,74,1h 50m
37. The forgotten Winchester,N/A,N/A,N/A
38. Escanyapobres,7.4,37,1h 42m
39. El Vaquero,8,10,1h 33m
40. Mr. Pettigrew,N/A,N/A,N/A
41. Once Upon a Time in Amityville,3.7,48,1h 13m
42. Zoloto Umalty,5,103,1h 49m
43. Doc Holliday 3,N/A,N/A,N/A
44. Doc Holliday 2,6,10,N/A
45. Hinter dem Eisernen Horizont,7.6,12,1h 28m
46. Oltre il confine,N/A,N/A,1h 16m
47. Death After Dusk,5.7,89,2h 20m
48. Searching for the Elephant,5.8,33,1h 56m
49. The Guardsmen: Part 3,3.4,84,N/A
50. Dans l'ombre de Marlow,N/A,N/A,1h 20m
51. Jama,6.3,16,1h 11m
52. The Wicked: Reborn,N/A,N/A,N/A
53. In Search of Bass Reeves,6,58,1h 45m
54. The Film Café,N/A,N/A,N/A
55. The Guardsmen: Part 2,3.6,86,N/A
56. Adiós al amigo,7.3,7,1h 58m
57. Buried on Shine Mountain,8.8,9,N/A
58. Myall Creek Day of Justice,6.4,17,1h 18m
59. Harsh Treatment,8,10,N/A
60. The Wolf in the Chute,9,12,33m
61. A Cowboy Against Thunder,N/A,N/A,N/A
62. Sinners in the Hands of an Angry God,N/A,N/A,1h 34m
63. The Legacy of the 12 Westerns,N/A,N/A,N/A
64. A Almería de Leone,N/A,N/A,51m
65. Blood Corral,6.3,8,N/A
66. Bo Nan Za,9.1,28,1h 1m
67. Ghost Town,N/A,N/A,N/A
68. The Ballad of Winchester Pete,N/A,N/A,N/A
69. Travesty,6.4,5,1h 18m
70. Lolo & Sosaku: The Western Archive,N/A,N/A,1h 6m
71. The Partners,N/A,N/A,58m
72. Guns Blazin,N/A,N/A,1h 28m
73. Last Flamingo of the Red Summer Sunset,8.8,13,1h 20m
74. Attack on Tranquility,N/A,N/A,1h 4m
75. Goin' Home,N/A,N/A,1h 31m
76. The Stand at Alder Creek,N/A,N/A,53m
77. The Cowboy Capital,N/A,N/A,N/A
78. The Letter,N/A,N/A,N/A
79. Pale Moon,N/A,N/A,N/A
80. Morningstar,N/A,N/A,1h 24m
81. The Golden Ghosts,N/A,N/A,1h
82. 12 Million Dollar Movie on Paper,N/A,N/A,N/A
83. Vadogga,N/A,N/A,1h 25m
"84. The Goods, Bads and Uglys",N/A,N/A,N/A
85. TV Heroes of the Wild West,N/A,N/A,N/A
86. Boot Hill,N/A,N/A,N/A
87. Bullet or Rope,N/A,N/A,55m
88. The Rattlesnake Twins,N/A,N/A,50m
